title,url,category,filetype,slide_count,publishing_consultancy
Market Analysis and Competitive Positioning Assessment,https://flevy.com/browse/marketplace/market-analysis-and-competitive-positioning-assessment-8337,Consulting Frameworks,PowerPoint,45,LearnPPT Consulting
Complete Guide to Value Creation,https://flevy.com/browse/marketplace/complete-guide-to-value-creation-3914,Consulting Frameworks,PowerPoint,101,LearnPPT Consulting
Strategic Planning Checklist,https://flevy.com/browse/marketplace/strategic-planning-checklist-8211,Consulting Frameworks,PowerPoint,44,LearnPPT Consulting
Change Management Strategy,https://flevy.com/browse/marketplace/change-management-strategy-5523,Consulting Frameworks,PowerPoint,24,Corporate Finance 101
Performance Management Maturity Model,https://flevy.com/browse/flevypro/performance-management-maturity-model-5108,Consulting Frameworks,PowerPoint,25,LearnPPT Consulting
Mergers and Acquisitions (M&A): Target Operating Model (TOM),https://flevy.com/browse/flevypro/mergers-and-acquisitions-manda-target-operating-model-tom-3630,Consulting Frameworks,PowerPoint,32,LearnPPT Consulting
Comprehensive Guide to Financial Statement Analysis,https://flevy.com/browse/marketplace/comprehensive-guide-to-financial-statement-analysis-1206,Consulting Frameworks,PowerPoint,89,STRATICX
Commercial Due Diligence (CDD),https://flevy.com/browse/marketplace/commercial-due-diligence-cdd-2881,Consulting Frameworks,PowerPoint,63,LearnPPT Consulting
Product Lifecycle,https://flevy.com/browse/marketplace/product-lifecycle-227,Consulting Frameworks,PowerPoint,34,LearnPPT Consulting
Organic Growth Framework (OGF),https://flevy.com/browse/marketplace/organic-growth-framework-ogf-5652,Consulting Frameworks,PowerPoint,98,LearnPPT Consulting
SMO Series: Strategy Management Processes,https://flevy.com/browse/flevypro/smo-series-strategy-management-processes-3394,Consulting Frameworks,PowerPoint,24,LearnPPT Consulting
Digital Transformation Strategy (Primer),https://flevy.com/browse/flevypro/digital-transformation-strategy-primer-2253,Consulting Frameworks,PowerPoint,21,LearnPPT Consulting
Strategic Sourcing Framework,https://flevy.com/browse/marketplace/strategic-sourcing-framework-263,Consulting Frameworks,PowerPoint,15,LearnPPT Consulting
Strategy Chessboard,https://flevy.com/browse/marketplace/strategy-chessboard-3125,Consulting Frameworks,PowerPoint,62,LearnPPT Consulting
Post-merger Integration (PMI): Day One Activities,https://flevy.com/browse/flevypro/post-merger-integration-pmi-day-one-activities-4046,Consulting Frameworks,PowerPoint,28,LearnPPT Consulting
Organizational Design for High Performance,https://flevy.com/browse/marketplace/organizational-design-for-high-performance-3896,Consulting Frameworks,PowerPoint,42,Eldiablo666
Introduction to ChatGPT & Prompt Engineering,https://flevy.com/browse/flevypro/introduction-to-chatgpt-and-prompt-engineering-6813,Consulting Frameworks,PowerPoint,35,LearnPPT Consulting
Value-based Pricing Strategy,https://flevy.com/browse/marketplace/value-based-pricing-strategy-1096,Consulting Frameworks,PowerPoint,47,PPT Lab
McKinsey Feedback Model,https://flevy.com/browse/flevypro/mckinsey-feedback-model-3544,Consulting Frameworks,PowerPoint,21,LearnPPT Consulting
Organisation Design 101 - Best Practice,https://flevy.com/browse/marketplace/organisation-design-101-best-practice-2171,Consulting Frameworks,PowerPoint,26,P-Square Partners
Digital Transformation: Integrated Business Ecosystems,https://flevy.com/browse/marketplace/digital-transformation-integrated-business-ecosystems-3440,Consulting Frameworks,PowerPoint,81,LearnPPT Consulting
The Challenger Selling Model Primer,https://flevy.com/browse/marketplace/the-challenger-selling-model-primer-1504,Consulting Frameworks,PowerPoint,15,Visual Time Value
Pathways to Data Monetization,https://flevy.com/browse/flevypro/pathways-to-data-monetization-5245,Consulting Frameworks,PowerPoint,27,LearnPPT Consulting
Structured Problem Solving & Hypothesis Generation,https://flevy.com/browse/marketplace/structured-problem-solving-and-hypothesis-generation-95,Consulting Frameworks,PowerPoint,34,Process Consulting
McKinsey Problem-Solving Toolkit,https://flevy.com/browse/marketplace/mckinsey-problem-solving-toolkit-7965,Consulting Frameworks,PowerPoint,69,SB Consulting 
SMO Series: Strategic Management Office (SMO) Primer,https://flevy.com/browse/flevypro/smo-series-strategic-management-office-smo-primer-3393,Consulting Frameworks,PowerPoint,21,LearnPPT Consulting
Digital Organizational Design,https://flevy.com/browse/flevypro/digital-organizational-design-3189,Consulting Frameworks,PowerPoint,23,LearnPPT Consulting
Six Building Blocks of Digital Transformation,https://flevy.com/browse/flevypro/six-building-blocks-of-digital-transformation-2789,Consulting Frameworks,PowerPoint,35,PPT Lab
KPI Compilation: 600+ Supply Chain Management KPIs,https://flevy.com/browse/marketplace/kpi-compilation-600-supply-chain-management-kpis-7858,Consulting Frameworks,PowerPoint,141,LearnPPT Consulting
"Business Continuity Planning - Guide, Process and Tools",https://flevy.com/browse/marketplace/business-continuity-planning-guide-process-and-tools-5352,Consulting Frameworks,PowerPoint,61,ILMAM - Strategy & Management Consulting
Strategic Plan Template,https://flevy.com/browse/flevypro/strategic-plan-template-8558,Consulting Frameworks,PowerPoint,40,LearnPPT Consulting
Complete Guide to Strategic Planning,https://flevy.com/browse/marketplace/complete-guide-to-strategic-planning-955,Consulting Frameworks,PowerPoint,77,Echelon Associates
Post-merger Integration (PMI): Integration Checklist (Part 1),https://flevy.com/browse/flevypro/post-merger-integration-pmi-integration-checklist-part-1-4159,Consulting Frameworks,PowerPoint,27,LearnPPT Consulting
9 Principles of Organizational Design,https://flevy.com/browse/flevypro/9-principles-of-organizational-design-3476,Consulting Frameworks,PowerPoint,21,LearnPPT Consulting
Financial Statement Analysis,https://flevy.com/browse/marketplace/financial-statement-analysis-141,Consulting Frameworks,PowerPoint,43,PPT Lab
Go-to-Market Model Design,https://flevy.com/browse/flevypro/go-to-market-model-design-3752,Consulting Frameworks,PowerPoint,19,LearnPPT Consulting
4 Disciplines of Execution (4DX),https://flevy.com/browse/flevypro/4-disciplines-of-execution-4dx-8048,Consulting Frameworks,PowerPoint,31,LearnPPT Consulting
Balanced Scorecard,https://flevy.com/browse/marketplace/balanced-scorecard-134,Consulting Frameworks,PowerPoint,34,PPT Lab
Soft Side of Change Management,https://flevy.com/browse/marketplace/soft-side-of-change-management-261,Consulting Frameworks,PowerPoint,20,LearnPPT Consulting
Organizational Design: 10 Leadership Questions,https://flevy.com/browse/flevypro/organizational-design-10-leadership-questions-3191,Consulting Frameworks,PowerPoint,23,LearnPPT Consulting
Employee Engagement Culture,https://flevy.com/browse/flevypro/employee-engagement-culture-2678,Consulting Frameworks,PowerPoint,17,PPT Lab
"OGSM (Objectives, Goals, Strategies, and Measures)",https://flevy.com/browse/flevypro/ogsm-objectives-goals-strategies-and-measures-8774,Consulting Frameworks,PowerPoint,33,LearnPPT Consulting
Corporate Governance: Guide for SMEs,https://flevy.com/browse/marketplace/corporate-governance-guide-for-smes-5240,Consulting Frameworks,PowerPoint,27,ILMAM - Strategy & Management Consulting
Business Model Innovation (BMI),https://flevy.com/browse/flevypro/business-model-innovation-bmi-2912,Consulting Frameworks,PowerPoint,27,LearnPPT Consulting
Growth Opportunity Assessment,https://flevy.com/browse/marketplace/growth-opportunity-assessment-759,Consulting Frameworks,PowerPoint,76,Documents & Files
Complete Guide to Customer-centric Design (CCD),https://flevy.com/browse/marketplace/complete-guide-to-customer-centric-design-ccd-3936,Consulting Frameworks,PowerPoint,103,LearnPPT Consulting
Overview of Program Management,https://flevy.com/browse/marketplace/overview-of-program-management-1537,Consulting Frameworks,PowerPoint,70,S Ramani (GRT Consulting)
McKinsey 7-S Strategy Model,https://flevy.com/browse/marketplace/mckinsey-7-s-strategy-model-197,Consulting Frameworks,PowerPoint,26,PPT Lab
Post Merger Integration (PMI) Best Practice Framework,https://flevy.com/browse/marketplace/post-merger-integration-pmi-best-practice-framework-1204,Consulting Frameworks,PowerPoint,28,STRATICX
Greiner Growth Model: Stages of Evolution and Revolution,https://flevy.com/browse/flevypro/greiner-growth-model-stages-of-evolution-and-revolution-2660,Consulting Frameworks,PowerPoint,28,PPT Lab
Strategy Development Methodology,https://flevy.com/browse/marketplace/strategy-development-methodology-264,Consulting Frameworks,PowerPoint,35,LearnPPT Consulting
Guide to Acquisition Strategy and Valuation Methodologies,https://flevy.com/browse/marketplace/guide-to-acquisition-strategy-and-valuation-methodologies-387,Consulting Frameworks,PowerPoint,28,STRATICX
Core Competencies Analysis,https://flevy.com/browse/marketplace/core-competencies-analysis-75,Consulting Frameworks,PowerPoint,17,LearnPPT Consulting
Robotic Process Automation (RPA),https://flevy.com/browse/flevypro/robotic-process-automation-rpa-2746,Consulting Frameworks,PowerPoint,36,PPT Lab
Complete Guide to Post-merger Integration (PMI),https://flevy.com/browse/marketplace/complete-guide-to-post-merger-integration-pmi-9276,Consulting Frameworks,PowerPoint,106,LearnPPT Consulting
Supply Chain Sustainability,https://flevy.com/browse/flevypro/supply-chain-sustainability-5087,Consulting Frameworks,PowerPoint,24,LearnPPT Consulting
Transformation Journey,https://flevy.com/browse/flevypro/transformation-journey-3186,Consulting Frameworks,PowerPoint,21,LearnPPT Consulting
Galbraith Star Model,https://flevy.com/browse/flevypro/galbraith-star-model-4095,Consulting Frameworks,PowerPoint,24,LearnPPT Consulting
"Business Model Canvas: Guide, Process and Tools",https://flevy.com/browse/marketplace/business-model-canvas-guide-process-and-tools-5215,Consulting Frameworks,PowerPoint,43,ILMAM - Strategy & Management Consulting
Organizational Change Readiness Assessment & Questionnaire,https://flevy.com/browse/marketplace/organizational-change-readiness-assessment-and-questionnaire-8120,Consulting Frameworks,PowerPoint,50,LearnPPT Consulting
Business Continuity and Disaster Recovery Checklist,https://flevy.com/browse/marketplace/business-continuity-and-disaster-recovery-checklist-8249,Consulting Frameworks,PowerPoint,55,LearnPPT Consulting
Working Capital Management Strategy,https://flevy.com/browse/marketplace/working-capital-management-strategy-8911,Consulting Frameworks,PowerPoint,84,LearnPPT Consulting
Organization Design Current State Assessment Guide,https://flevy.com/browse/marketplace/organization-design-current-state-assessment-guide-4155,Consulting Frameworks,PowerPoint,20,Corporate Finance 101
Post-merger Integration (PMI): Integration Checklist (Part 2),https://flevy.com/browse/flevypro/post-merger-integration-pmi-integration-checklist-part-2-4160,Consulting Frameworks,PowerPoint,27,LearnPPT Consulting
"Organizational Velocity - Improving Speed, Efficiency & Effectiveness of Business",https://flevy.com/browse/marketplace/organizational-velocity-improving-speed-efficiency-and-effectiveness-of-business-482,Consulting Frameworks,PowerPoint,47,STRATICX
Marketing Plan Development Framework,https://flevy.com/browse/marketplace/marketing-plan-development-framework-174,Consulting Frameworks,PowerPoint,63,PPT Lab
Market Entry Strategy,https://flevy.com/browse/marketplace/market-entry-strategy-776,Consulting Frameworks,PowerPoint,86,Documents & Files
Employee Engagement Measurement & Improvement,https://flevy.com/browse/flevypro/employee-engagement-measurement-and-improvement-5321,Consulting Frameworks,PowerPoint,25,LearnPPT Consulting
The Complete Business Transformation Toolkit,https://flevy.com/browse/marketplace/the-complete-business-transformation-toolkit-7762,Consulting Frameworks,PowerPoint,91,ChangingTheGame
"Value-Driven Boards - Frameworks, Models and Tools",https://flevy.com/browse/marketplace/value-driven-boards-frameworks-models-and-tools-5250,Consulting Frameworks,PowerPoint,53,ILMAM - Strategy & Management Consulting
Insurance Value Chain,https://flevy.com/browse/marketplace/insurance-value-chain-9129,Consulting Frameworks,PowerPoint,31,LearnPPT Consulting
5 Ps of Purpose,https://flevy.com/browse/flevypro/5-ps-of-purpose-5454,Consulting Frameworks,PowerPoint,30,LearnPPT Consulting
Post-merger Integration (PMI): Integration Checklist (Part 3),https://flevy.com/browse/flevypro/post-merger-integration-pmi-integration-checklist-part-3-4161,Consulting Frameworks,PowerPoint,28,LearnPPT Consulting
Post-merger Integration (PMI): Integration Checklist (Part 4),https://flevy.com/browse/flevypro/post-merger-integration-pmi-integration-checklist-part-4-4162,Consulting Frameworks,PowerPoint,32,LearnPPT Consulting
Strategy Map,https://flevy.com/browse/flevypro/strategy-map-2488,Consulting Frameworks,PowerPoint,20,PPT Lab
Powerful Executive Communication,https://flevy.com/browse/marketplace/powerful-executive-communication-2860,Consulting Frameworks,PowerPoint,74,Trinity Consulting
Service 4.0 Transformation,https://flevy.com/browse/marketplace/service-4-0-transformation-2818,Consulting Frameworks,PowerPoint,52,LearnPPT Consulting
Strategic Sourcing Assessment,https://flevy.com/browse/marketplace/strategic-sourcing-assessment-8443,Consulting Frameworks,PowerPoint,108,LearnPPT Consulting
Complete Strategic Management Consulting Guide and Toolkit,https://flevy.com/browse/marketplace/complete-strategic-management-consulting-guide-and-toolkit-6878,Consulting Frameworks,PowerPoint,165,SB Consulting 
Matrix Organization: Matrix Management 2.0,https://flevy.com/browse/flevypro/matrix-organization-matrix-management-2-0-3584,Consulting Frameworks,PowerPoint,26,LearnPPT Consulting
Sales Force Effectiveness (SFE): 5 Components of Selling,https://flevy.com/browse/flevypro/sales-force-effectiveness-sfe-5-components-of-selling-2957,Consulting Frameworks,PowerPoint,24,LearnPPT Consulting
Complete Guide to ChatGPT & Prompt Engineering,https://flevy.com/browse/marketplace/complete-guide-to-chatgpt-and-prompt-engineering-7776,Consulting Frameworks,PowerPoint,62,LearnPPT Consulting
Strategy Classics: Value Disciplines Model,https://flevy.com/browse/flevypro/strategy-classics-value-disciplines-model-5138,Consulting Frameworks,PowerPoint,27,LearnPPT Consulting
Supercharge Strategy Execution: Performance Scorecard,https://flevy.com/browse/marketplace/supercharge-strategy-execution-performance-scorecard-1870,Consulting Frameworks,PowerPoint,35,Trinity Consulting
Digital Transformation: Operating Model Transformation,https://flevy.com/browse/flevypro/digital-transformation-operating-model-transformation-3977,Consulting Frameworks,PowerPoint,26,LearnPPT Consulting
Strategic Human Resources,https://flevy.com/browse/flevypro/strategic-human-resources-5310,Consulting Frameworks,PowerPoint,27,LearnPPT Consulting
5 Leadership Practices of Capabilities-Driven Strategy (CDR),https://flevy.com/browse/flevypro/5-leadership-practices-of-capabilities-driven-strategy-cdr-3702,Consulting Frameworks,PowerPoint,25,LearnPPT Consulting
IT Operating Model Framework,https://flevy.com/browse/marketplace/it-operating-model-framework-3897,Consulting Frameworks,PowerPoint,41,Eldiablo666
"Structured Communication, Presentation Development, and Storyboarding",https://flevy.com/browse/marketplace/structured-communication-presentation-development-and-storyboarding-96,Consulting Frameworks,PowerPoint,40,Process Consulting
Product Management KPIs,https://flevy.com/browse/flevypro/product-management-kpis-5526,Consulting Frameworks,PowerPoint,32,LearnPPT Consulting
Strategic Foresight and Uncertainty,https://flevy.com/browse/marketplace/strategic-foresight-and-uncertainty-5273,Consulting Frameworks,PowerPoint,51,ILMAM - Strategy & Management Consulting
Multichannel Contact Center Strategy,https://flevy.com/browse/flevypro/multichannel-contact-center-strategy-3726,Consulting Frameworks,PowerPoint,27,LearnPPT Consulting
Corporate Learning Strategy,https://flevy.com/browse/flevypro/corporate-learning-strategy-5750,Consulting Frameworks,PowerPoint,26,LearnPPT Consulting
Negotiation Tactics,https://flevy.com/browse/marketplace/negotiation-tactics-8933,Consulting Frameworks,PowerPoint,69,LearnPPT Consulting
Restructuring: Redeployment Assessment Process & Methods,https://flevy.com/browse/flevypro/restructuring-redeployment-assessment-process-and-methods-5422,Consulting Frameworks,PowerPoint,29,LearnPPT Consulting
Digital Transformation - Intelligence Report (June 2022),https://flevy.com/browse/marketplace/digital-transformation-intelligence-report-june-2022-6265,Consulting Frameworks,PowerPoint,37,FlevyIntel
Predictable and Scalable Sales Process for B2B Business,https://flevy.com/browse/marketplace/predictable-and-scalable-sales-process-for-b2b-business-5449,Consulting Frameworks,PowerPoint,131,Shaleen Sinha
10 Principles of Managing Strategy through Execution,https://flevy.com/browse/flevypro/10-principles-of-managing-strategy-through-execution-2975,Consulting Frameworks,PowerPoint,21,LearnPPT Consulting
Services Growth & Effectiveness Strategy,https://flevy.com/browse/marketplace/services-growth-and-effectiveness-strategy-735,Consulting Frameworks,PowerPoint,91,Documents & Files
Supply Chain Management - Sales and Operations Planning (S&OP) Improvement,https://flevy.com/browse/flevypro/supply-chain-management-sales-and-operations-planning-sandop-improvement-2953,Consulting Frameworks,PowerPoint,27,LearnPPT Consulting
Strategic Restructuring: Critical Success Factors,https://flevy.com/browse/flevypro/strategic-restructuring-critical-success-factors-5389,Consulting Frameworks,PowerPoint,24,LearnPPT Consulting
Complete Toolkit for Improving Meetings,https://flevy.com/browse/marketplace/complete-toolkit-for-improving-meetings-449,Consulting Frameworks,PowerPoint,30,STRATICX
Key Account Management (KAM): Large Global Accounts,https://flevy.com/browse/flevypro/key-account-management-kam-large-global-accounts-3765,Consulting Frameworks,PowerPoint,24,LearnPPT Consulting
Problem Solving and Decision Making,https://flevy.com/browse/marketplace/problem-solving-and-decision-making-4015,Consulting Frameworks,PowerPoint,32,Corporate Finance 101
Post-merger Integration Training,https://flevy.com/browse/marketplace/post-merger-integration-training-756,Consulting Frameworks,PowerPoint,131,Documents & Files
Performance Management Primer,https://flevy.com/browse/flevypro/performance-management-primer-2484,Consulting Frameworks,PowerPoint,15,PPT Lab
Innovation Culture,https://flevy.com/browse/flevypro/innovation-culture-3674,Consulting Frameworks,PowerPoint,22,LearnPPT Consulting
Customer Experience Maturity Assessment,https://flevy.com/browse/marketplace/customer-experience-maturity-assessment-4145,Consulting Frameworks,PowerPoint,30,CustCore Consulting
M&A Growth Strategy: First 100 Days,https://flevy.com/browse/flevypro/manda-growth-strategy-first-100-days-5681,Consulting Frameworks,PowerPoint,23,LearnPPT Consulting
Agile Talent Acquisition Strategy,https://flevy.com/browse/flevypro/agile-talent-acquisition-strategy-7142,Consulting Frameworks,PowerPoint,33,LearnPPT Consulting
Sales Compensation Plan Design,https://flevy.com/browse/flevypro/sales-compensation-plan-design-5290,Consulting Frameworks,PowerPoint,24,LearnPPT Consulting
People Capability Maturity Model (P-CMM),https://flevy.com/browse/flevypro/people-capability-maturity-model-p-cmm-2973,Consulting Frameworks,PowerPoint,18,LearnPPT Consulting
Artificial Intelligence (AI) Strategy: Top Priorities,https://flevy.com/browse/flevypro/artificial-intelligence-ai-strategy-top-priorities-5883,Consulting Frameworks,PowerPoint,26,LearnPPT Consulting
Aerospace and Defense Value Chain,https://flevy.com/browse/marketplace/aerospace-and-defense-value-chain-8760,Consulting Frameworks,PowerPoint,36,LearnPPT Consulting
Warehouse Costing: Cleansheet Analysis,https://flevy.com/browse/flevypro/warehouse-costing-cleansheet-analysis-5509,Consulting Frameworks,PowerPoint,23,LearnPPT Consulting
Outcome-Driven Innovation (ODI),https://flevy.com/browse/flevypro/outcome-driven-innovation-odi-7503,Consulting Frameworks,PowerPoint,35,LearnPPT Consulting
Business Model Innovation (BMI):  Scalable Business Models,https://flevy.com/browse/flevypro/business-model-innovation-bmi-scalable-business-models-5182,Consulting Frameworks,PowerPoint,29,LearnPPT Consulting
Customer Segmentation,https://flevy.com/browse/marketplace/customer-segmentation-700,Consulting Frameworks,PowerPoint,47,Documents & Files
Digital Transformation: Challenges in Execution,https://flevy.com/browse/flevypro/digital-transformation-challenges-in-execution-5514,Consulting Frameworks,PowerPoint,31,LearnPPT Consulting
Structured Problem Solving - Top Tier Consulting Framework,https://flevy.com/browse/marketplace/structured-problem-solving-top-tier-consulting-framework-2301,Consulting Frameworks,PowerPoint,57,P-Square Partners
Digital Transformation: Challenges in Change & Organization,https://flevy.com/browse/flevypro/digital-transformation-challenges-in-change-and-organization-5555,Consulting Frameworks,PowerPoint,31,LearnPPT Consulting
Thomas-Kilmann Conflict Mode Instrument (TKI),https://flevy.com/browse/flevypro/thomas-kilmann-conflict-mode-instrument-tki-3722,Consulting Frameworks,PowerPoint,21,LearnPPT Consulting
Structured Thinking 101: Clarity Through Storylines,https://flevy.com/browse/marketplace/structured-thinking-101-clarity-through-storylines-196,Consulting Frameworks,PowerPoint,39,Clarity First 
Consolidation-Endgame Curve Framework,https://flevy.com/browse/marketplace/consolidation-endgame-curve-framework-201,Consulting Frameworks,PowerPoint,29,LearnPPT Consulting
Supply Chain Resilience,https://flevy.com/browse/flevypro/supply-chain-resilience-4147,Consulting Frameworks,PowerPoint,23,LearnPPT Consulting
Pricing Strategy: B2B Markets,https://flevy.com/browse/flevypro/pricing-strategy-b2b-markets-3166,Consulting Frameworks,PowerPoint,24,LearnPPT Consulting
Market Entry Strategy Toolkit,https://flevy.com/browse/marketplace/market-entry-strategy-toolkit-7724,Consulting Frameworks,PowerPoint,109,SB Consulting 
Due Diligence Kickoff Presentation,https://flevy.com/browse/marketplace/due-diligence-kickoff-presentation-701,Consulting Frameworks,PowerPoint,21,Documents & Files
10 Principles of Customer Strategy,https://flevy.com/browse/flevypro/10-principles-of-customer-strategy-3678,Consulting Frameworks,PowerPoint,22,LearnPPT Consulting
Value Chain Analysis,https://flevy.com/browse/marketplace/value-chain-analysis-262,Consulting Frameworks,PowerPoint,16,LearnPPT Consulting
Strategy Classics: Balanced Scorecard (BSC),https://flevy.com/browse/flevypro/strategy-classics-balanced-scorecard-bsc-1969,Consulting Frameworks,PowerPoint,30,LearnPPT Consulting
10 Principles in Leading Change Management,https://flevy.com/browse/flevypro/10-principles-in-leading-change-management-2959,Consulting Frameworks,PowerPoint,17,LearnPPT Consulting
10 Principles of Culture,https://flevy.com/browse/flevypro/10-principles-of-culture-3697,Consulting Frameworks,PowerPoint,30,LearnPPT Consulting
Digital Transformation: Blockchain Technology,https://flevy.com/browse/marketplace/digital-transformation-blockchain-technology-2710,Consulting Frameworks,PowerPoint,87,LearnPPT Consulting
Software-as-a-Service (SaaS) Value Chain,https://flevy.com/browse/marketplace/software-as-a-service-saas-value-chain-9104,Consulting Frameworks,PowerPoint,31,LearnPPT Consulting
"Mergers, Acquisitions Best Practices",https://flevy.com/browse/marketplace/mergers-acquisitions-best-practices-738,Consulting Frameworks,PowerPoint,56,Documents & Files
Employee Value Proposition (EVP),https://flevy.com/browse/flevypro/employee-value-proposition-evp-2688,Consulting Frameworks,PowerPoint,20,PPT Lab
