title,url,category,filetype,slide_count,publishing_consultancy
Complete Toolkit for Improving Meetings,https://flevy.com/browse/marketplace/complete-toolkit-for-improving-meetings-449,"Organization, Change, & HR",PowerPoint,30,STRATICX
Pitch Yourself - Next-Level CV PowerPoint,https://flevy.com/browse/marketplace/pitch-yourself-next-level-cv-powerpoint-9152,"Organization, Change, & HR",PowerPoint,38,Project in the Box
Change Management,https://flevy.com/browse/marketplace/change-management-5340,"Organization, Change, & HR",PowerPoint,110,Operational Excellence Consulting
Performance Management Maturity Model,https://flevy.com/browse/flevypro/performance-management-maturity-model-5108,"Organization, Change, & HR",PowerPoint,25,LearnPPT Consulting
Psychology of Product Adoption,https://flevy.com/browse/marketplace/psychology-of-product-adoption-203,"Organization, Change, & HR",PowerPoint,46,PPT Lab
Negotiation Tactics,https://flevy.com/browse/marketplace/negotiation-tactics-8933,"Organization, Change, & HR",PowerPoint,69,LearnPPT Consulting
5S for the Office,https://flevy.com/browse/marketplace/5s-for-the-office-161,"Organization, Change, & HR",PowerPoint,190,Operational Excellence Consulting
Organization Design Current State Assessment Guide,https://flevy.com/browse/marketplace/organization-design-current-state-assessment-guide-4155,"Organization, Change, & HR",PowerPoint,20,Corporate Finance 101
Performance Measurement,https://flevy.com/browse/flevypro/performance-measurement-1702,"Organization, Change, & HR",PowerPoint,23,LearnPPT Consulting
A Practical Framework Approach to Change - The Full Version,https://flevy.com/browse/marketplace/a-practical-framework-approach-to-change-the-full-version-1363,"Organization, Change, & HR",PowerPoint,135,The Highway of Change
Employee Engagement Measurement & Improvement,https://flevy.com/browse/flevypro/employee-engagement-measurement-and-improvement-5321,"Organization, Change, & HR",PowerPoint,25,LearnPPT Consulting
Corporate Governance: Guide for SMEs,https://flevy.com/browse/marketplace/corporate-governance-guide-for-smes-5240,"Organization, Change, & HR",PowerPoint,27,ILMAM - Strategy & Management Consulting
Employee Engagement Culture,https://flevy.com/browse/flevypro/employee-engagement-culture-2678,"Organization, Change, & HR",PowerPoint,17,PPT Lab
Enterprise Organizational Assessment Toolkit,https://flevy.com/browse/marketplace/enterprise-organizational-assessment-toolkit-7663,"Organization, Change, & HR",PowerPoint,61,WallStBizStrategist
9 Principles of Organizational Design,https://flevy.com/browse/flevypro/9-principles-of-organizational-design-3476,"Organization, Change, & HR",PowerPoint,21,LearnPPT Consulting
Sustainability,https://flevy.com/browse/marketplace/sustainability-5829,"Organization, Change, & HR",PowerPoint,137,Operational Excellence Consulting
Digital Organizational Design,https://flevy.com/browse/flevypro/digital-organizational-design-3189,"Organization, Change, & HR",PowerPoint,23,LearnPPT Consulting
Organization Chart Maker for Microsoft Excel,https://flevy.com/browse/marketplace/organization-chart-maker-for-microsoft-excel-247,"Organization, Change, & HR",Excel,,officehelp
Fundamentals of Effective Communication,https://flevy.com/browse/marketplace/fundamentals-of-effective-communication-748,"Organization, Change, & HR",PowerPoint,57,Documents & Files
Progress Report Primer,https://flevy.com/browse/marketplace/progress-report-primer-168,"Organization, Change, & HR",PowerPoint,31,Clarity First 
Corporate Learning Strategy,https://flevy.com/browse/flevypro/corporate-learning-strategy-5750,"Organization, Change, & HR",PowerPoint,26,LearnPPT Consulting
MoSCoW  Method,https://flevy.com/browse/flevypro/moscow-method-8923,"Organization, Change, & HR",PowerPoint,28,LearnPPT Consulting
8 Levers to Change Management,https://flevy.com/browse/flevypro/8-levers-to-change-management-3847,"Organization, Change, & HR",PowerPoint,24,LearnPPT Consulting
Stakeholder Analysis & Management,https://flevy.com/browse/marketplace/stakeholder-analysis-and-management-962,"Organization, Change, & HR",PowerPoint,20,The Highway of Change
"Change Management Process - PPT (IT Service Management, ITSM)",https://flevy.com/browse/marketplace/change-management-process-ppt-it-service-management-itsm-3046,"Organization, Change, & HR",PowerPoint,32,Ivana Nissen
Consulting Project Management Leadership & Team Effectiveness,https://flevy.com/browse/marketplace/consulting-project-management-leadership-and-team-effectiveness-692,"Organization, Change, & HR",PowerPoint,51,Documents & Files
Visual Management,https://flevy.com/browse/marketplace/visual-management-640,"Organization, Change, & HR",PowerPoint,153,Operational Excellence Consulting
5 Leadership Practices of Capabilities-Driven Strategy (CDR),https://flevy.com/browse/flevypro/5-leadership-practices-of-capabilities-driven-strategy-cdr-3702,"Organization, Change, & HR",PowerPoint,25,LearnPPT Consulting
Fit for Growth,https://flevy.com/browse/flevypro/fit-for-growth-6058,"Organization, Change, & HR",PowerPoint,30,LearnPPT Consulting
Strategic Human Resources,https://flevy.com/browse/flevypro/strategic-human-resources-5310,"Organization, Change, & HR",PowerPoint,27,LearnPPT Consulting
Issue-Based Work Planning and Hypothesis Problem Solving,https://flevy.com/browse/marketplace/issue-based-work-planning-and-hypothesis-problem-solving-377,"Organization, Change, & HR",PowerPoint,25,STRATICX
Galbraith Star Model,https://flevy.com/browse/flevypro/galbraith-star-model-4095,"Organization, Change, & HR",PowerPoint,24,LearnPPT Consulting
Executive Presence & Influence Toolkit (+Templates),https://flevy.com/browse/marketplace/executive-presence-and-influence-toolkit-templates-9379,"Organization, Change, & HR",PowerPoint,578,SB Consulting 
Leadership Theories,https://flevy.com/browse/marketplace/leadership-theories-874,"Organization, Change, & HR",PowerPoint,166,Operational Excellence Consulting
Strategic Restructuring: Critical Success Factors,https://flevy.com/browse/flevypro/strategic-restructuring-critical-success-factors-5389,"Organization, Change, & HR",PowerPoint,24,LearnPPT Consulting
Employee Suggestion System (Kaizen Teian),https://flevy.com/browse/marketplace/employee-suggestion-system-kaizen-teian-157,"Organization, Change, & HR",PowerPoint,211,Operational Excellence Consulting
Product Management KPIs,https://flevy.com/browse/flevypro/product-management-kpis-5526,"Organization, Change, & HR",PowerPoint,32,LearnPPT Consulting
Pricing Strategy Workshop,https://flevy.com/browse/marketplace/pricing-strategy-workshop-764,"Organization, Change, & HR",PowerPoint,133,Documents & Files
10 Principles in Leading Change Management,https://flevy.com/browse/flevypro/10-principles-in-leading-change-management-2959,"Organization, Change, & HR",PowerPoint,17,LearnPPT Consulting
Lean Standard Work: The Standard Pig Game,https://flevy.com/browse/marketplace/lean-standard-work-the-standard-pig-game-5388,"Organization, Change, & HR",PowerPoint,26,Operational Excellence Consulting
Stakeholder Analysis and Engagement Framework,https://flevy.com/browse/marketplace/stakeholder-analysis-and-engagement-framework-9157,"Organization, Change, & HR",PowerPoint,63,LearnPPT Consulting
Effective Communication,https://flevy.com/browse/marketplace/effective-communication-3201,"Organization, Change, & HR",PowerPoint,93,Operational Excellence Consulting
ISO 45001:2018 (OH&S) Awareness Training,https://flevy.com/browse/marketplace/iso-450012018-ohands-awareness-training-3174,"Organization, Change, & HR",PowerPoint,73,Operational Excellence Consulting
Triple Bottom Line (TBL),https://flevy.com/browse/flevypro/triple-bottom-line-tbl-7281,"Organization, Change, & HR",PowerPoint,32,LearnPPT Consulting
Capability Maturity Model (CMM) - Enterprise Architecture,https://flevy.com/browse/flevypro/capability-maturity-model-cmm-enterprise-architecture-2949,"Organization, Change, & HR",PowerPoint,24,LearnPPT Consulting
Closing the Strategy-to-Performance Gap,https://flevy.com/browse/flevypro/closing-the-strategy-to-performance-gap-2760,"Organization, Change, & HR",PowerPoint,20,PPT Lab
KPI Compilation: 800+ Human Resource & Talent Management KPIs,https://flevy.com/browse/marketplace/kpi-compilation-800-human-resource-and-talent-management-kpis-7879,"Organization, Change, & HR",PowerPoint,168,LearnPPT Consulting
Business Process Maturity Model (BPMM) Series: BPMM Primer,https://flevy.com/browse/flevypro/business-process-maturity-model-bpmm-series-bpmm-primer-4196,"Organization, Change, & HR",PowerPoint,23,LearnPPT Consulting
Lean Daily Management System (LDMS),https://flevy.com/browse/marketplace/lean-daily-management-system-ldms-1488,"Organization, Change, & HR",PowerPoint,164,Operational Excellence Consulting
Change Management Models,https://flevy.com/browse/marketplace/change-management-models-1214,"Organization, Change, & HR",PowerPoint,139,Operational Excellence Consulting
"DACI (Driver, Approver, Contributor, Informed) Framework",https://flevy.com/browse/marketplace/daci-driver-approver-contributor-informed-framework-9391,"Organization, Change, & HR",PowerPoint,49,Operational Excellence Consulting
Proposal for Organizational Restructuring (Big 4),https://flevy.com/browse/marketplace/proposal-for-organizational-restructuring-big-4-7025,"Organization, Change, & HR",PowerPoint,68,Shaleen Sinha
ISO 14001:2015 (EMS) Awareness Training,https://flevy.com/browse/marketplace/iso-140012015-ems-awareness-training-164,"Organization, Change, & HR",PowerPoint,75,Operational Excellence Consulting
Sustainable Value Framework,https://flevy.com/browse/flevypro/sustainable-value-framework-9206,"Organization, Change, & HR",PowerPoint,33,LearnPPT Consulting
Stacey Matrix,https://flevy.com/browse/flevypro/stacey-matrix-8417,"Organization, Change, & HR",PowerPoint,30,LearnPPT Consulting
Stakeholder Analysis and Engagement Framework Primer,https://flevy.com/browse/flevypro/stakeholder-analysis-and-engagement-framework-primer-9173,"Organization, Change, & HR",PowerPoint,26,LearnPPT Consulting
Board Governance Models,https://flevy.com/browse/flevypro/board-governance-models-3386,"Organization, Change, & HR",PowerPoint,25,LearnPPT Consulting
Thomas-Kilmann Conflict Mode Instrument (TKI),https://flevy.com/browse/flevypro/thomas-kilmann-conflict-mode-instrument-tki-3722,"Organization, Change, & HR",PowerPoint,21,LearnPPT Consulting
Business Model Innovation (BMI): Business Model Journey,https://flevy.com/browse/flevypro/business-model-innovation-bmi-business-model-journey-6129,"Organization, Change, & HR",PowerPoint,29,LearnPPT Consulting
4 Areas of Strategic Governance for New Board Members,https://flevy.com/browse/flevypro/4-areas-of-strategic-governance-for-new-board-members-3783,"Organization, Change, & HR",PowerPoint,24,LearnPPT Consulting
Value Mapping,https://flevy.com/browse/flevypro/value-mapping-2659,"Organization, Change, & HR",PowerPoint,19,PPT Lab
Digital Transformation: Operating Model Transformation,https://flevy.com/browse/flevypro/digital-transformation-operating-model-transformation-3977,"Organization, Change, & HR",PowerPoint,26,LearnPPT Consulting
The 7 Habits of Highly Effective People - Framework & Diagram,https://flevy.com/browse/marketplace/the-7-habits-of-highly-effective-people-framework-and-diagram-6535,"Organization, Change, & HR",PowerPoint,50,UJ Consulting
9 Influencing Strategies Used by the Most Successful Leaders,https://flevy.com/browse/marketplace/9-influencing-strategies-used-by-the-most-successful-leaders-1346,"Organization, Change, & HR",PowerPoint,47,SlideKraft
Change Readiness Assessment Toolkit,https://flevy.com/browse/marketplace/change-readiness-assessment-toolkit-675,"Organization, Change, & HR",Word,20,Documents & Files
Foundation of Organization Design and Structure,https://flevy.com/browse/marketplace/foundation-of-organization-design-and-structure-1521,"Organization, Change, & HR",PDF,18,ARC Strategy Ltd.
Effective Communication with Virtual Teams,https://flevy.com/browse/flevypro/effective-communication-with-virtual-teams-3701,"Organization, Change, & HR",PowerPoint,23,LearnPPT Consulting
Knowledge Management (KM) Strategy,https://flevy.com/browse/flevypro/knowledge-management-km-strategy-3801,"Organization, Change, & HR",PowerPoint,22,LearnPPT Consulting
Employee Value Proposition (EVP),https://flevy.com/browse/flevypro/employee-value-proposition-evp-2688,"Organization, Change, & HR",PowerPoint,20,PPT Lab
10 Principles of Culture,https://flevy.com/browse/flevypro/10-principles-of-culture-3697,"Organization, Change, & HR",PowerPoint,30,LearnPPT Consulting
Consulting Storytelling Guide,https://flevy.com/browse/marketplace/consulting-storytelling-guide-7124,"Organization, Change, & HR",PowerPoint,74,SB Consulting 
Four A's of Succession Management,https://flevy.com/browse/flevypro/four-as-of-succession-management-3182,"Organization, Change, & HR",PowerPoint,24,LearnPPT Consulting
5S Techniques,https://flevy.com/browse/marketplace/5s-techniques-154,"Organization, Change, & HR",PowerPoint,189,Operational Excellence Consulting
A Comprehensive Guide to Change Management & ERP Implementations,https://flevy.com/browse/marketplace/a-comprehensive-guide-to-change-management-and-erp-implementations-1256,"Organization, Change, & HR",PowerPoint,144,The Highway of Change
Matrix Organization: Matrix Management 2.0,https://flevy.com/browse/flevypro/matrix-organization-matrix-management-2-0-3584,"Organization, Change, & HR",PowerPoint,26,LearnPPT Consulting
Thinking Fast & Slow System,https://flevy.com/browse/marketplace/thinking-fast-and-slow-system-7120,"Organization, Change, & HR",PowerPoint,41,UJ Consulting
Building Effective Teams,https://flevy.com/browse/marketplace/building-effective-teams-866,"Organization, Change, & HR",PowerPoint,111,Operational Excellence Consulting
How to Create a Culture that Supports Innovation,https://flevy.com/browse/marketplace/how-to-create-a-culture-that-supports-innovation-1126,"Organization, Change, & HR",PDF,13,Innovation Management
Chief Transformation Officer (CTO) Toolkit,https://flevy.com/browse/marketplace/chief-transformation-officer-cto-toolkit-7613,"Organization, Change, & HR",PowerPoint,280,SB Consulting 
Agile Talent Acquisition Strategy,https://flevy.com/browse/flevypro/agile-talent-acquisition-strategy-7142,"Organization, Change, & HR",PowerPoint,33,LearnPPT Consulting
Adaptive Leadership Team Development,https://flevy.com/browse/flevypro/adaptive-leadership-team-development-3349,"Organization, Change, & HR",PowerPoint,24,LearnPPT Consulting
6 Leadership Mindsets,https://flevy.com/browse/flevypro/6-leadership-mindsets-3656,"Organization, Change, & HR",PowerPoint,20,LearnPPT Consulting
4 Stages of Disruption,https://flevy.com/browse/flevypro/4-stages-of-disruption-5265,"Organization, Change, & HR",PowerPoint,27,LearnPPT Consulting
World Class Planning & Performance Management,https://flevy.com/browse/marketplace/world-class-planning-and-performance-management-742,"Organization, Change, & HR",PowerPoint,43,Documents & Files
Restructuring: Redeployment Assessment Process & Methods,https://flevy.com/browse/flevypro/restructuring-redeployment-assessment-process-and-methods-5422,"Organization, Change, & HR",PowerPoint,29,LearnPPT Consulting
Five Pillars of Agile Organizations,https://flevy.com/browse/flevypro/five-pillars-of-agile-organizations-3175,"Organization, Change, & HR",PowerPoint,30,LearnPPT Consulting
Team Turnaround Strategies,https://flevy.com/browse/flevypro/team-turnaround-strategies-3357,"Organization, Change, & HR",PowerPoint,22,LearnPPT Consulting
Lead With Systems Thinking,https://flevy.com/browse/marketplace/lead-with-systems-thinking-9477,"Organization, Change, & HR",PowerPoint,148,Operational Excellence Consulting
Executive Team Building,https://flevy.com/browse/marketplace/executive-team-building-1408,"Organization, Change, & HR",PowerPoint,38,McCarthy & Affiliates
Cultural Intelligence,https://flevy.com/browse/flevypro/cultural-intelligence-2669,"Organization, Change, & HR",PowerPoint,22,PPT Lab
Digital Transformation: Next-Generation Learning Organization,https://flevy.com/browse/flevypro/digital-transformation-next-generation-learning-organization-5158,"Organization, Change, & HR",PowerPoint,21,LearnPPT Consulting
Corporate Performance Measurement,https://flevy.com/browse/marketplace/corporate-performance-measurement-696,"Organization, Change, & HR",PowerPoint,106,Documents & Files
Benchmarking for Superior Performance,https://flevy.com/browse/marketplace/benchmarking-for-superior-performance-156,"Organization, Change, & HR",PowerPoint,241,Operational Excellence Consulting
Complete Strategic Management Consulting Guide and Toolkit,https://flevy.com/browse/marketplace/complete-strategic-management-consulting-guide-and-toolkit-6878,"Organization, Change, & HR",PowerPoint,165,SB Consulting 
5S Poster,https://flevy.com/browse/marketplace/5s-poster-5309,"Organization, Change, & HR",PDF,3,Operational Excellence Consulting
IT Capability Maturity Framework (IT-CMF),https://flevy.com/browse/flevypro/it-capability-maturity-framework-it-cmf-2911,"Organization, Change, & HR",PowerPoint,21,LearnPPT Consulting
Performance Management Primer,https://flevy.com/browse/flevypro/performance-management-primer-2484,"Organization, Change, & HR",PowerPoint,15,PPT Lab
Lean Change Management,https://flevy.com/browse/flevypro/lean-change-management-3142,"Organization, Change, & HR",PowerPoint,21,LearnPPT Consulting
Influence Model for Change,https://flevy.com/browse/flevypro/influence-model-for-change-3658,"Organization, Change, & HR",PowerPoint,23,LearnPPT Consulting
Virtual Teams: Challenges & Benefits,https://flevy.com/browse/flevypro/virtual-teams-challenges-and-benefits-4013,"Organization, Change, & HR",PowerPoint,26,LearnPPT Consulting
Human Resources Strategy Framework: Business Value Creation,https://flevy.com/browse/marketplace/human-resources-strategy-framework-business-value-creation-1972,"Organization, Change, & HR",PowerPoint,101,Youssef AIT AKKI - The Horizon Strategy.
"Objective, Goals, Strategies And Measures (OGSM)",https://flevy.com/browse/marketplace/objective-goals-strategies-and-measures-ogsm-8069,"Organization, Change, & HR",PowerPoint,115,SB Consulting 
Recruitment Strategy Toolkit,https://flevy.com/browse/marketplace/recruitment-strategy-toolkit-9002,"Organization, Change, & HR",PowerPoint,606,SB Consulting 
Corporate Governance Frameworks,https://flevy.com/browse/marketplace/corporate-governance-frameworks-5355,"Organization, Change, & HR",PowerPoint,113,Operational Excellence Consulting
Comprehensive HR Policy Manual,https://flevy.com/browse/marketplace/comprehensive-hr-policy-manual-1301,"Organization, Change, & HR",Word,193,SlideKraft
Five Dimensions of Marketing Organizations,https://flevy.com/browse/flevypro/five-dimensions-of-marketing-organizations-2934,"Organization, Change, & HR",PowerPoint,26,LearnPPT Consulting
"10 Best Practices for Small, Agile Teams",https://flevy.com/browse/flevypro/10-best-practices-for-small-agile-teams-5897,"Organization, Change, & HR",PowerPoint,25,LearnPPT Consulting
Change Enablement Workshop Presentation,https://flevy.com/browse/marketplace/change-enablement-workshop-presentation-688,"Organization, Change, & HR",PowerPoint,97,Documents & Files
Effective Meetings,https://flevy.com/browse/marketplace/effective-meetings-348,"Organization, Change, & HR",PowerPoint,66,Operational Excellence Consulting
Change Management Strategy for SAP/GBO Program,https://flevy.com/browse/marketplace/change-management-strategy-for-sap-gbo-program-83,"Organization, Change, & HR",PowerPoint,61,kgoldin
DICE Hard Change Factors,https://flevy.com/browse/flevypro/dice-hard-change-factors-2656,"Organization, Change, & HR",PowerPoint,12,PPT Lab
Removing Organizational Silos,https://flevy.com/browse/flevypro/removing-organizational-silos-3861,"Organization, Change, & HR",PowerPoint,23,LearnPPT Consulting
McKinsey Talent-to-Value Framework,https://flevy.com/browse/marketplace/mckinsey-talent-to-value-framework-7699,"Organization, Change, & HR",PowerPoint,230,SB Consulting 
HR KPI Dashboard Excel Template,https://flevy.com/browse/marketplace/hr-kpi-dashboard-excel-template-8136,"Organization, Change, & HR",Excel,,Improve Your Excel
Governance Review Template,https://flevy.com/browse/marketplace/governance-review-template-3338,"Organization, Change, & HR",PDF,1,consultfca
HR Digital Transformation,https://flevy.com/browse/marketplace/hr-digital-transformation-6441,"Organization, Change, & HR",PowerPoint,29,UJ Consulting
HR Performance Management System (PMS),https://flevy.com/browse/marketplace/hr-performance-management-system-pms-6137,"Organization, Change, & HR",PowerPoint,28,UJ Consulting
Developing a Lean Culture,https://flevy.com/browse/marketplace/developing-a-lean-culture-1033,"Organization, Change, & HR",PowerPoint,46,OpEx Academy NZ
The People Side of Change & Change Resistance,https://flevy.com/browse/marketplace/the-people-side-of-change-and-change-resistance-1036,"Organization, Change, & HR",PowerPoint,32,The Highway of Change
Operating Model Strategy,https://flevy.com/browse/marketplace/operating-model-strategy-7818,"Organization, Change, & HR",PowerPoint,110,SB Consulting 
"Human Factors - The ""Dirty Dozen""",https://flevy.com/browse/marketplace/human-factors-the-dirty-dozen-6771,"Organization, Change, & HR",PowerPoint,92,RadVector  Consulting
Restructuring: Redeployment Assessment Management,https://flevy.com/browse/flevypro/restructuring-redeployment-assessment-management-5439,"Organization, Change, & HR",PowerPoint,27,LearnPPT Consulting
Journey (Change) Management Playbook,https://flevy.com/browse/marketplace/journey-change-management-playbook-1292,"Organization, Change, & HR",PowerPoint,39,preetyg1
Training Needs Analysis (TNA),https://flevy.com/browse/marketplace/training-needs-analysis-tna-1967,"Organization, Change, & HR",PowerPoint,72,Operational Excellence Consulting
Overview of Baldrige Excellence Framework,https://flevy.com/browse/marketplace/overview-of-baldrige-excellence-framework-172,"Organization, Change, & HR",PowerPoint,85,Operational Excellence Consulting
FAST Method to Goal Setting,https://flevy.com/browse/flevypro/fast-method-to-goal-setting-3647,"Organization, Change, & HR",PowerPoint,19,LearnPPT Consulting
Workshop Facilitation Techniques (Volume 2),https://flevy.com/browse/flevypro/workshop-facilitation-techniques-volume-2-3849,"Organization, Change, & HR",PowerPoint,27,LearnPPT Consulting
Knowledge Management Primer,https://flevy.com/browse/flevypro/knowledge-management-primer-3797,"Organization, Change, & HR",PowerPoint,26,LearnPPT Consulting
First 90 Days - Critical Success Strategies,https://flevy.com/browse/flevypro/first-90-days-critical-success-strategies-3223,"Organization, Change, & HR",PowerPoint,19,LearnPPT Consulting
Building a World Class HR Operations,https://flevy.com/browse/marketplace/building-a-world-class-hr-operations-6386,"Organization, Change, & HR",PowerPoint,102,UJ Consulting
Key Performance Indicators (KPIs) | HR Functions,https://flevy.com/browse/marketplace/key-performance-indicators-kpis-hr-functions-8005,"Organization, Change, & HR",PowerPoint,118,ILMAM - Strategy & Management Consulting
Business Motivation Model (BMM),https://flevy.com/browse/flevypro/business-motivation-model-bmm-9056,"Organization, Change, & HR",PowerPoint,38,LearnPPT Consulting
GRPI Model for Team Development,https://flevy.com/browse/flevypro/grpi-model-for-team-development-3355,"Organization, Change, & HR",PowerPoint,24,LearnPPT Consulting
Change Transition Management,https://flevy.com/browse/flevypro/change-transition-management-6849,"Organization, Change, & HR",PowerPoint,32,LearnPPT Consulting
7 Skills of Knowledge Work,https://flevy.com/browse/flevypro/7-skills-of-knowledge-work-7067,"Organization, Change, & HR",PowerPoint,31,LearnPPT Consulting
Designing for Urgency,https://flevy.com/browse/flevypro/designing-for-urgency-3286,"Organization, Change, & HR",PowerPoint,24,LearnPPT Consulting
5S Implementation Guidebook: 8 Steps of 5S Implementation,https://flevy.com/browse/marketplace/5s-implementation-guidebook-8-steps-of-5s-implementation-3178,"Organization, Change, & HR",PowerPoint,162,Operational Excellence Consulting
