title,url,category,filetype,slide_count,publishing_consultancy,description
"SMO Series: Strategic Management Office (SMO) Implementation",https://flevy.com/browse/flevypro/smo-series-strategic-management-office-smo-implementation-3395,"Consulting Framework",PowerPoint,24,"LearnPPT Consulting","Explore our SMO Implementation PPT, crafted by ex-McKinsey & Big 4 consultants. Gain insights on SMO models, resource allocation, and a Chrysler case study."
"Cost Reduction Opportunities (across Value Chain)",https://flevy.com/browse/marketplace/cost-reduction-opportunities-across-value-chain-204,"Consulting Framework",PowerPoint,24,"LearnPPT Consulting","This Cost Reduction framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It identifies over 45+ Cost Reduction initiatives mapped to the Michael Porter Value Chain."
"KPI Compilation: 600+ Sales Management & Strategy KPIs",https://flevy.com/browse/marketplace/kpi-compilation-600-sales-management-and-strategy-kpis-7821,"Consulting Framework",PowerPoint,141,"LearnPPT Consulting","This collection of Sales KPIs is compiled by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants based on best practices in Sales Performance Management."
"Key Account Management 101 - Best Practices",https://flevy.com/browse/marketplace/key-account-management-101-best-practices-2787,"Consulting Framework",PowerPoint,47,"P-Square Partners","Explore best practices for Key Account Management in this expert PPT, crafted by industry leaders. Enhance client relationships and drive growth with proven strategies."
"Scenario Planning",https://flevy.com/browse/marketplace/scenario-planning-243,"Consulting Framework",PowerPoint,23,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. Explains a framework used by global strategy consulting firms to conduct Scenario Planning analysis and Scenario Planning workshops."
"KPI Compilation: 800+ Corporate Strategy KPIs",https://flevy.com/browse/marketplace/kpi-compilation-800-corporate-strategy-kpis-7847,"Consulting Framework",PowerPoint,186,"LearnPPT Consulting","This collection of Strategy KPIs is compiled by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants based on best practices in Corporate Strategy and Strategic Management."
"Key Performance Indicators (KPIs): Best Practices",https://flevy.com/browse/flevypro/key-performance-indicators-kpis-best-practices-4010,"Consulting Framework",PowerPoint,21,"LearnPPT Consulting","Explore best practices for KPIs developed by ex-McKinsey & Big 4 consultants. Enhance performance alignment and value creation with actionable insights."
"Management Consulting Problem Solving Process",https://flevy.com/browse/flevypro/management-consulting-problem-solving-process-1690,"Consulting Framework",PowerPoint,19,"LearnPPT Consulting","Explore a structured approach to problem solving in management consulting, crafted by ex-McKinsey & Big 4 consultants. Enhance your strategic analysis skills."
"Process Automation & Digitalization Assessment",https://flevy.com/browse/marketplace/process-automation-and-digitalization-assessment-8498,"Consulting Framework",PowerPoint,41,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It provides an evaluation of over 150+ items across 6 functional workstreams."
"Business Transformation Framework for New CEOs",https://flevy.com/browse/flevypro/business-transformation-framework-for-new-ceos-2754,"Consulting Framework",PowerPoint,22,"PPT Lab","Explore a Business Transformation Framework crafted by ex-McKinsey & Big 4 consultants, tailored for new CEOs to drive impactful change and enhance performance."
"Leadership Competency Model",https://flevy.com/browse/flevypro/leadership-competency-model-3661,"Consulting Framework",PowerPoint,25,"LearnPPT Consulting","Explore a robust Leadership Competency Model crafted by ex-McKinsey & Big 4 consultants. Enhance your leadership assessment with actionable insights and templates."
"Guide to Business Strategy Execution",https://flevy.com/browse/marketplace/guide-to-business-strategy-execution-873,"Consulting Framework",PowerPoint,48,"LearnPPT Consulting","This Strategy Execution presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. Most frameworks focus on Strategy Development, whereas this focuses on Execution & Implementation."
"End-to-end (E2E) Operating Model Transformation",https://flevy.com/browse/flevypro/end-to-end-e2e-operating-model-transformation-3800,"Consulting Framework",PowerPoint,30,"LearnPPT Consulting","Transform your organization's E2E Operating Model with insights from ex-McKinsey & Big 4 consultants. Enhance efficiency, reduce costs, and improve customer service."
"Organizational Culture Assessment & Questionnaire",https://flevy.com/browse/marketplace/organizational-culture-assessment-and-questionnaire-8095,"Consulting Framework",PowerPoint,57,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It includes a 200+ question assessment that evaluates Culture across 10 dimensions."
"Digital Transformation Governance",https://flevy.com/browse/flevypro/digital-transformation-governance-5079,"Consulting Framework",PowerPoint,27,"LearnPPT Consulting","Explore a robust Digital Transformation Governance framework by ex-McKinsey & Big 4 consultants. Discover 7 principles to enhance digital initiative success."
"HR Strategy: Job Leveling",https://flevy.com/browse/flevypro/hr-strategy-job-leveling-5328,"Consulting Framework",PowerPoint,26,"LearnPPT Consulting","Explore a comprehensive Job Leveling Framework by ex-McKinsey & Big 4 consultants. Enhance HR practices, align roles, and drive business results effectively."
"Market Analysis and Competitive Positioning Assessment",https://flevy.com/browse/marketplace/market-analysis-and-competitive-positioning-assessment-8337,"Consulting Framework",PowerPoint,45,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It provides a comprehensive Market Analysis and Competitive Positioning Assessment that contains over 150+ checklist items."
"Cost Reduction Methodologies",https://flevy.com/browse/marketplace/cost-reduction-methodologies-93,"Consulting Framework",PowerPoint,33,marcus,"Developed by an ex-McKinsey and EY consultant, this presentation breaks down several cost reduction methodologies commonly used by management consulting firms."
"SMO Series: Strategy Management Processes",https://flevy.com/browse/flevypro/smo-series-strategy-management-processes-3394,"Consulting Framework",PowerPoint,24,"LearnPPT Consulting","Explore the SMO Series: Strategy Management Processes PPT, crafted by ex-McKinsey and Big 4 consultants. Master 9 essential processes for effective strategy execution."
"Digital Transformation: Value Creation & Analysis",https://flevy.com/browse/flevypro/digital-transformation-value-creation-and-analysis-2766,"Consulting Framework",PowerPoint,21,"PPT Lab","Explore a comprehensive framework on Digital Transformation by ex-McKinsey & Big 4 consultants. Analyze value creation, assess opportunities, and optimize your digital strategy."
"Change Management Strategy",https://flevy.com/browse/marketplace/change-management-strategy-5523,"Consulting Framework",PowerPoint,24,"Corporate Finance 101","Explore a robust Change Management Strategy framework designed for HR and Transaction Advisors, crafted by industry experts. Enhance your change initiatives with proven methodologies and tools."
"Comprehensive Guide to Financial Statement Analysis",https://flevy.com/browse/marketplace/comprehensive-guide-to-financial-statement-analysis-1206,"Consulting Framework",PowerPoint,89,STRATICX,"Master financial statement analysis with this comprehensive PPT guide, crafted by industry experts. Enhance your skills in ratio analysis and financial health evaluation."
"Complete Guide to Value Creation",https://flevy.com/browse/marketplace/complete-guide-to-value-creation-3914,"Consulting Framework",PowerPoint,101,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It covers multiple Value Creation frameworks utilized by global strategy consulting firms."
"Strategic Planning Checklist",https://flevy.com/browse/marketplace/strategic-planning-checklist-8211,"Consulting Framework",PowerPoint,44,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It provides a checklist of 140 items to ensure a robust Strategic Planning process."
"Organizational Design for High Performance",https://flevy.com/browse/marketplace/organizational-design-for-high-performance-3896,"Consulting Framework",PowerPoint,42,Eldiablo666,"Explore a comprehensive framework for high-performance organizational design, crafted by industry experts. Optimize structures, roles, and governance for strategic alignment."
"Commercial Due Diligence &#40;CDD&#41;",https://flevy.com/browse/marketplace/commercial-due-diligence-cdd-2881,"Consulting Framework",PowerPoint,63,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It explains the approach to Commercial Due Diligence utilized by global strategy consulting firms."
"Performance Management Maturity Model",https://flevy.com/browse/flevypro/performance-management-maturity-model-5108,"Consulting Framework",PowerPoint,25,"LearnPPT Consulting","Explore the Performance Management Maturity Model, crafted by ex-McKinsey and Big 4 consultants. Assess and optimize your organization's performance capabilities."
"Mergers and Acquisitions (M&A): Target Operating Model (TOM)",https://flevy.com/browse/flevypro/mergers-and-acquisitions-manda-target-operating-model-tom-3630,"Consulting Framework",PowerPoint,32,"LearnPPT Consulting","Explore a comprehensive M&A Target Operating Model (TOM) framework by ex-McKinsey & Big 4 consultants, detailing integration strategies and best practices."
"McKinsey Feedback Model",https://flevy.com/browse/flevypro/mckinsey-feedback-model-3544,"Consulting Framework",PowerPoint,21,"LearnPPT Consulting","Explore the McKinsey Feedback Model, crafted by ex-McKinsey & Big 4 consultants. Enhance feedback effectiveness with structured, actionable insights."
"Organic Growth Framework &#40;OGF&#41;",https://flevy.com/browse/marketplace/organic-growth-framework-ogf-5652,"Consulting Framework",PowerPoint,98,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It is an emerging Growth Strategy framework that focuses on changing customer behaviors, instead of product differentiation."
"The Challenger Selling Model Primer",https://flevy.com/browse/marketplace/the-challenger-selling-model-primer-1504,"Consulting Framework",PowerPoint,15,"Visual Time Value","Explore the Challenger Selling Model Primer, crafted by industry experts, to master insight selling and transform your B2B sales strategy."
"Strategy Chessboard",https://flevy.com/browse/marketplace/strategy-chessboard-3125,"Consulting Framework",PowerPoint,62,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. Strategy Chessboard is a powerful A.T. Kearney Strategic Planning framework used for selecting the optimal strategic approach."
"Post-merger Integration (PMI): Day One Activities",https://flevy.com/browse/flevypro/post-merger-integration-pmi-day-one-activities-4046,"Consulting Framework",PowerPoint,28,"LearnPPT Consulting","Explore essential Day One activities in Post-merger Integration (PMI) from ex-McKinsey & Big 4 consultants. Optimize synergies, streamline operations, and ensure business continuity."
"Product Lifecycle",https://flevy.com/browse/marketplace/product-lifecycle-227,"Consulting Framework",PowerPoint,34,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It explains the approach to Product Lifecycle Analysis utilized by global strategy consulting firms."
"Strategic Plan Template",https://flevy.com/browse/flevypro/strategic-plan-template-8558,"Consulting Framework",PowerPoint,40,"LearnPPT Consulting","Developed by ex-McKinsey & Big 4 consultants, this PPT template offers a comprehensive framework for strategic planning, aligning goals with actionable initiatives."
"SMO Series: Strategic Management Office (SMO) Primer",https://flevy.com/browse/flevypro/smo-series-strategic-management-office-smo-primer-3393,"Consulting Framework",PowerPoint,21,"LearnPPT Consulting","Explore the SMO Primer, crafted by ex-McKinsey and Big 4 consultants, to enhance your strategy execution with key processes and BSC integration."
"Digital Transformation Strategy (Primer)",https://flevy.com/browse/flevypro/digital-transformation-strategy-primer-2253,"Consulting Framework",PowerPoint,21,"LearnPPT Consulting","Explore a comprehensive Digital Transformation Strategy primer by ex-McKinsey & Big 4 consultants. Gain insights on 8 levers for operational and growth initiatives."
"Strategic Sourcing Framework",https://flevy.com/browse/marketplace/strategic-sourcing-framework-263,"Consulting Framework",PowerPoint,15,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It explains the approach to Strategic Sourcing / Procurement Strategy utilized by global strategy consulting firms."
"Value-based Pricing Strategy",https://flevy.com/browse/marketplace/value-based-pricing-strategy-1096,"Consulting Framework",PowerPoint,47,"PPT Lab","Designed by a firm of ex-consultants from McKinsey, E&Y, and Bearing Point, this presentation breaks down a consulting framework on Value-based Pricing. Value-based Pricing is a superior approach to Cost-based and Competitive Pricing."
"Introduction to ChatGPT & Prompt Engineering",https://flevy.com/browse/flevypro/introduction-to-chatgpt-and-prompt-engineering-6813,"Consulting Framework",PowerPoint,35,"LearnPPT Consulting","Explore ChatGPT and Prompt Engineering in this expert PPT by former McKinsey & Big 4 consultants. Understand GPT, its applications, and effective prompt strategies."
"Structured Problem Solving & Hypothesis Generation",https://flevy.com/browse/marketplace/structured-problem-solving-and-hypothesis-generation-95,"Consulting Framework",PowerPoint,34,"Process Consulting","Explore structured problem solving and hypothesis generation with this expert PPT, crafted by industry veterans. Enhance decision-making using MECE frameworks and the Fishbone Technique."
"KPI Compilation: 600+ Supply Chain Management KPIs",https://flevy.com/browse/marketplace/kpi-compilation-600-supply-chain-management-kpis-7858,"Consulting Framework",PowerPoint,141,"LearnPPT Consulting","This collection of Supply Chain KPIs is compiled by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants based on best practices in Supply Chain Management."
"Organisation Design 101 - Best Practice",https://flevy.com/browse/marketplace/organisation-design-101-best-practice-2171,"Consulting Framework",PowerPoint,26,"P-Square Partners","Explore best practices in organization design with this comprehensive PPT by industry experts. Learn key success factors, structures, and strategic alignment."
"Organizational Velocity - Improving Speed, Efficiency & Effectiveness of Business",https://flevy.com/browse/marketplace/organizational-velocity-improving-speed-efficiency-and-effectiveness-of-business-482,"Consulting Framework",PowerPoint,47,STRATICX,"Enhance your organization's efficiency with this expert framework for process audits and workload analysis. Created by industry veterans, it identifies key improvement initiatives."
"Pathways to Data Monetization",https://flevy.com/browse/flevypro/pathways-to-data-monetization-5245,"Consulting Framework",PowerPoint,27,"LearnPPT Consulting","Explore pathways to Data Monetization with insights from ex-McKinsey & Big 4 consultants. This framework details internal and external strategies for success."
"Business Continuity Planning - Guide, Process and Tools",https://flevy.com/browse/marketplace/business-continuity-planning-guide-process-and-tools-5352,"Consulting Framework",PowerPoint,61,"ILMAM - Strategy & Management Consulting","MBB/Big 4 style presentation that guides for business continuity planning &#40;BCP&#41; as part of holistic business continuity management &#40;BCM&#41; program"
"Complete Guide to Strategic Planning",https://flevy.com/browse/marketplace/complete-guide-to-strategic-planning-955,"Consulting Framework",PowerPoint,77,"Echelon Associates","This presentation is created by an expert in Strategic Planning, having been involved in the planning sessions of 3M, Gillette, Rubbermaid, Zenith, Sunbeam, and 100s of others. He's been working in Strategic Planning since the 60s."
"Digital Transformation: Integrated Business Ecosystems",https://flevy.com/browse/marketplace/digital-transformation-integrated-business-ecosystems-3440,"Consulting Framework",PowerPoint,81,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It breaks down 4 critical business ecosystems foundational to a successful Digital Transformation Program."
"Balanced Scorecard",https://flevy.com/browse/marketplace/balanced-scorecard-134,"Consulting Framework",PowerPoint,34,"PPT Lab","Designed by a firm of ex-consultants from McKinsey, E&Y, and Bearing Point, this presentation explains Kaplan and Norton's Balanced Scorecard, a classic framework on strategic management."
"Insurance Value Chain",https://flevy.com/browse/marketplace/insurance-value-chain-9129,"Consulting Framework",PowerPoint,31,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants and provides actionable insights for Insurance Industry Value Chain Analysis."
"McKinsey Problem-Solving Toolkit",https://flevy.com/browse/marketplace/mckinsey-problem-solving-toolkit-7965,"Consulting Framework",PowerPoint,69,"SB Consulting ","This toolkit is created by trained McKinsey, BCG, and Porsche Consulting consultants and is the same used by MBB, Big 4, and Fortune 100 companies when performing Problem-Solving Initiatives."
"Digital Organizational Design",https://flevy.com/browse/flevypro/digital-organizational-design-3189,"Consulting Framework",PowerPoint,23,"LearnPPT Consulting","Explore a comprehensive PPT on Digital Organizational Design, crafted by ex-McKinsey & Big 4 consultants. Discover 4 models and diagnostic tools for digital maturity."
"Six Building Blocks of Digital Transformation",https://flevy.com/browse/flevypro/six-building-blocks-of-digital-transformation-2789,"Consulting Framework",PowerPoint,35,"PPT Lab","Explore the Six Building Blocks of Digital Transformation, crafted by ex-McKinsey and Big 4 consultants. Gain insights on strategy, RPA, and analytics for effective change."
"Soft Side of Change Management",https://flevy.com/browse/marketplace/soft-side-of-change-management-261,"Consulting Framework",PowerPoint,20,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It teaches a practical consulting framework actively used by tier-1 consulting firms."
"4 Disciplines of Execution &#40;4DX&#41;",https://flevy.com/browse/flevypro/4-disciplines-of-execution-4dx-8048,"Consulting Framework",PowerPoint,31,"LearnPPT Consulting","Explore the 4 Disciplines of Execution (4DX) framework by ex-McKinsey consultants. Enhance strategic execution with proven principles and case studies."
"Complete Guide to Post-merger Integration &#40;PMI&#41;",https://flevy.com/browse/marketplace/complete-guide-to-post-merger-integration-pmi-9276,"Consulting Framework",PowerPoint,106,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants and details a robust framework to managing the complete Post-merger Integration process."
"Post-merger Integration (PMI): Integration Checklist (Part 1)",https://flevy.com/browse/flevypro/post-merger-integration-pmi-integration-checklist-part-1-4159,"Consulting Framework",PowerPoint,27,"LearnPPT Consulting","Post-merger Integration (PMI) checklist by ex-McKinsey & Big 4 consultants. Focus on Finance & Legal to maximize deal value and streamline processes."
"9 Principles of Organizational Design",https://flevy.com/browse/flevypro/9-principles-of-organizational-design-3476,"Consulting Framework",PowerPoint,21,"LearnPPT Consulting","Explore the 9 Principles of Organizational Design in this expert PPT by ex-McKinsey consultants. Enhance your OD strategy for effective change management."
"OGSM &#40;Objectives, Goals, Strategies, and Measures&#41;",https://flevy.com/browse/flevypro/ogsm-objectives-goals-strategies-and-measures-8774,"Consulting Framework",PowerPoint,33,"LearnPPT Consulting","Explore the OGSM framework, crafted by ex-McKinsey and Big 4 consultants, to align strategy with execution for operational excellence."
"Financial Statement Analysis",https://flevy.com/browse/marketplace/financial-statement-analysis-141,"Consulting Framework",PowerPoint,43,"PPT Lab","Explore comprehensive financial statement analysis techniques in this PPT, crafted by industry experts. Enhance decision-making with key ratios and insights."
"Go-to-Market Model Design",https://flevy.com/browse/flevypro/go-to-market-model-design-3752,"Consulting Framework",PowerPoint,19,"LearnPPT Consulting","Explore our Go-to-Market Model Design framework, crafted by ex-McKinsey and Big 4 consultants. Optimize routes to market for enhanced growth and efficiency."
"Organizational Design: 10 Leadership Questions",https://flevy.com/browse/flevypro/organizational-design-10-leadership-questions-3191,"Consulting Framework",PowerPoint,23,"LearnPPT Consulting","Explore a strategic framework for Organizational Design by ex-McKinsey & Big 4 consultants. Navigate 10 leadership questions to enhance performance."
"Employee Engagement Culture",https://flevy.com/browse/flevypro/employee-engagement-culture-2678,"Consulting Framework",PowerPoint,17,"PPT Lab","Explore a 5-step framework for fostering Employee Engagement, crafted by ex-McKinsey & Big 4 consultants. Enhance leadership, EVP, and talent growth."
"Working Capital Management Strategy",https://flevy.com/browse/marketplace/working-capital-management-strategy-8911,"Consulting Framework",PowerPoint,84,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants and details a robust approach to WCM Strategy used by consultants with their clients."
"Growth Opportunity Assessment",https://flevy.com/browse/marketplace/growth-opportunity-assessment-759,"Consulting Framework",PowerPoint,76,"Documents & Files","Explore a comprehensive Growth Opportunity Assessment by ex-McKinsey consultants. Analyze market dynamics, identify strategic alternatives, and prioritize growth initiatives."
"Complete Guide to Customer-centric Design &#40;CCD&#41;",https://flevy.com/browse/marketplace/complete-guide-to-customer-centric-design-ccd-3936,"Consulting Framework",PowerPoint,103,"LearnPPT Consulting","This presentation is created by ex-McKinsey, BCG, Deloitte, EY, & Capgemini consultants. It discusses emerging frameworks related to Customer-centric Design, e.g. Customer Journey, Human-centered Design, & Design-driven Culture."
"Corporate Governance: Guide for SMEs",https://flevy.com/browse/marketplace/corporate-governance-guide-for-smes-5240,"Consulting Framework",PowerPoint,27,"ILMAM - Strategy & Management Consulting","MBB/Big 4 style presentation that helps identify good corporate governance practices that may fit a company, focusing primarily on the Anglo-Saxon unitary board model"
"Robotic Process Automation (RPA)",https://flevy.com/browse/flevypro/robotic-process-automation-rpa-2746,"Consulting Framework",PowerPoint,36,"PPT Lab","Explore this comprehensive RPA framework by ex-McKinsey and Big 4 consultants. Enhance productivity, compliance, and employee satisfaction with actionable insights."
"McKinsey 7-S Strategy Model",https://flevy.com/browse/marketplace/mckinsey-7-s-strategy-model-197,"Consulting Framework",PowerPoint,32,"PPT Lab","Designed by a firm of ex-consultants from McKinsey, E&Y, and Bearing Point, this presentation explains the McKinsey 7-S Model for driving organizational effectiveness and alignment."
"Business Model Innovation (BMI)",https://flevy.com/browse/flevypro/business-model-innovation-bmi-2912,"Consulting Framework",PowerPoint,27,"LearnPPT Consulting","Explore Business Model Innovation (BMI) strategies crafted by ex-McKinsey & Big 4 consultants. Drive core growth with actionable insights and frameworks."
"Organizational Change Readiness Assessment & Questionnaire",https://flevy.com/browse/marketplace/organizational-change-readiness-assessment-and-questionnaire-8120,"Consulting Framework",PowerPoint,50,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It includes a 100+ question assessment that evaluates Change Readiness across 10 dimensions."
"Overview of Program Management",https://flevy.com/browse/marketplace/overview-of-program-management-1537,"Consulting Framework",PowerPoint,70,"S Ramani &#40;GRT Consulting)","Explore our comprehensive PPT on Program Management, crafted by industry experts. Align projects with strategy, enhance benefits realization, and master lifecycle phases."
"Organization Design Current State Assessment Guide",https://flevy.com/browse/marketplace/organization-design-current-state-assessment-guide-4155,"Consulting Framework",PowerPoint,20,"Corporate Finance 101","Enhance your org design strategy with this comprehensive Current State Assessment Guide, crafted by industry experts. Analyze data, identify strengths, and report findings effectively."
"Transformation Journey",https://flevy.com/browse/flevypro/transformation-journey-3186,"Consulting Framework",PowerPoint,21,"LearnPPT Consulting","Explore the Transformation Journey framework by ex-McKinsey and Big 4 consultants. This PPT offers a 5-stage process for effective organizational change."
"Galbraith Star Model",https://flevy.com/browse/flevypro/galbraith-star-model-4095,"Consulting Framework",PowerPoint,24,"LearnPPT Consulting","Explore the Galbraith Star Model™ framework, crafted by ex-McKinsey and Big 4 consultants. Master organizational design with 5 key components: Strategy, Structure, Processes, Rewards, and People."
"Business Model Canvas: Guide, Process and Tools",https://flevy.com/browse/marketplace/business-model-canvas-guide-process-and-tools-5215,"Consulting Framework",PowerPoint,43,"ILMAM - Strategy & Management Consulting","MBB/Big 4 style presentation that provides an overview of the business model canvas and how it links to strategy analysis and development."
