title,url,category,filetype,slide_count,publishing_consultancy,description
"Leadership Competency Model",https://flevy.com/browse/flevypro/leadership-competency-model-3661,"Organization, Change, & HR",PowerPoint,25,"LearnPPT Consulting","Leadership Competency Model PPT: Download a 4-stage maturity framework with core competencies and leadership potential assessment tools for senior managers."
"Product Lifecycle",https://flevy.com/browse/marketplace/product-lifecycle-227,"Organization, Change, & HR",PowerPoint,34,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It explains the approach to Product Lifecycle Analysis utilized by global strategy consulting firms."
"Common Strategy Consulting Frameworks",https://flevy.com/browse/marketplace/common-strategy-consulting-frameworks-84,"Organization, Change, & HR",PowerPoint,19,kgoldin,"Explore essential Strategy and Management Consulting Frameworks in this PPT, crafted by industry experts. Enhance your strategic analysis and client solutions."
"Key Performance Indicators (KPIs): Best Practices",https://flevy.com/browse/flevypro/key-performance-indicators-kpis-best-practices-4010,"Organization, Change, & HR",PowerPoint,21,"LearnPPT Consulting","Explore best practices for KPIs developed by ex-McKinsey & Big 4 consultants. Enhance performance alignment and value creation with actionable insights."
"Organizational Culture Assessment & Questionnaire",https://flevy.com/browse/marketplace/organizational-culture-assessment-and-questionnaire-8095,"Organization, Change, & HR",PowerPoint,57,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It includes a 200+ question assessment that evaluates Culture across 10 dimensions."
"OGSM &#40;Objectives, Goals, Strategies, and Measures&#41;",https://flevy.com/browse/flevypro/ogsm-objectives-goals-strategies-and-measures-8774,"Organization, Change, & HR",PowerPoint,33,"LearnPPT Consulting","OGSM (Objectives, Goals, Strategies, and Measures) PPT template for strategic planning. Get a clear framework to set goals, define strategies, and track measures. Download now."
"Organization Culture Assessment Questionnaire",https://flevy.com/browse/marketplace/organization-culture-assessment-questionnaire-678,"Organization, Change, & HR",Word,8,"Documents & Files","Organizational culture questionnaire DOC: Assess company culture with a ready-to-use questionnaire. Download the Organization Culture Assessment Questionnaire now."
"CMMI (Capability Maturity Model Integration) Checklist",https://flevy.com/browse/flevypro/cmmi-capability-maturity-model-integration-checklist-2946,"Organization, Change, & HR",Excel,,Flevy,"Download the CMMI (Capability Maturity Model Integration) Checklist Excel template to assess and improve your maturity levels. Streamline your capability maturity process now."
"Complete Toolkit for Improving Meetings",https://flevy.com/browse/marketplace/complete-toolkit-for-improving-meetings-449,"Organization, Change, & HR",PowerPoint,30,STRATICX,"Enhance meeting efficiency with this comprehensive toolkit, crafted by industry experts. Includes PPT, Excel templates, and structured guidelines for optimal outcomes."
"How to Build a Target Operating Model &#40;TOM&#41;",https://flevy.com/browse/marketplace/how-to-build-a-target-operating-model-tom-3669,"Organization, Change, & HR",PowerPoint,35,"R Bradley Consulting","Target Operating Model template PPT: Learn how to build a clear, actionable TOM with ready-to-use slides. Download this professional PowerPoint now."
"End-to-end (E2E) Operating Model Transformation",https://flevy.com/browse/flevypro/end-to-end-e2e-operating-model-transformation-3800,"Organization, Change, & HR",PowerPoint,30,"LearnPPT Consulting","Transform your organization's E2E Operating Model with insights from ex-McKinsey & Big 4 consultants. Enhance efficiency, reduce costs, and improve customer service."
"Change Management Strategy",https://flevy.com/browse/marketplace/change-management-strategy-5523,"Organization, Change, & HR",PowerPoint,24,"Corporate Finance 101","Explore a robust Change Management Strategy framework designed for HR and Transaction Advisors, crafted by industry experts. Enhance your change initiatives with proven methodologies and tools."
"Organizational Design for High Performance",https://flevy.com/browse/marketplace/organizational-design-for-high-performance-3896,"Organization, Change, & HR",PowerPoint,42,Eldiablo666,"Explore a comprehensive framework for high-performance organizational design, crafted by industry experts. Optimize structures, roles, and governance for strategic alignment."
"Supercharge Strategy Execution: Performance Scorecard",https://flevy.com/browse/marketplace/supercharge-strategy-execution-performance-scorecard-1870,"Organization, Change, & HR",PowerPoint,35,"Trinity Consulting","Performance Scorecard: Proprietary framework crafted by ex BCG & EY Consultants - your blueprint for successful strategy execution and cross-functional collaboration."
"5S for the Office",https://flevy.com/browse/marketplace/5s-for-the-office-161,"Organization, Change, & HR",PowerPoint,190,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Methodologies."
"Organisation Design 101 - Best Practice",https://flevy.com/browse/marketplace/organisation-design-101-best-practice-2171,"Organization, Change, & HR",PowerPoint,26,"P-Square Partners","Explore best practices in organization design with this comprehensive PPT by industry experts. Learn key success factors, structures, and strategic alignment."
"Employee Engagement Culture",https://flevy.com/browse/flevypro/employee-engagement-culture-2678,"Organization, Change, & HR",PowerPoint,17,"PPT Lab","Employee engagement PPT: Learn effective strategies, activities, and action plans to boost workplace culture. Download this detailed Employee Engagement Culture PPT now."
"Fiaccabrino Selection Process",https://flevy.com/browse/marketplace/fiaccabrino-selection-process-566,"Organization, Change, & HR",PowerPoint,44,"Charles Fiaccabrino","This framework is pioneered by Charles Fiaccabrino, a sales executive with 50+ years of experience. During his tenure at Roche (Fortune 200), he earned the title ""Mr. Roche"" from multiple CEOs & received the Presidents Award a record 20 times."
"Mergers and Acquisitions (M&A): Target Operating Model (TOM)",https://flevy.com/browse/flevypro/mergers-and-acquisitions-manda-target-operating-model-tom-3630,"Organization, Change, & HR",PowerPoint,32,"LearnPPT Consulting","Mergers and Acquisitions (M&A) Target Operating Model (TOM) PPT. Get expert-ready slides for M&A operations, management presentations, and integration frameworks. Download now."
"Consolidation-Endgame Curve Framework",https://flevy.com/browse/marketplace/consolidation-endgame-curve-framework-201,"Organization, Change, & HR",PowerPoint,29,"LearnPPT Consulting","This presentation is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. Consolidation-Endgame Curve is an AT Kearney Growth Strategy framework commonly used by strategy consultants."
"HR Strategy: Job Leveling",https://flevy.com/browse/flevypro/hr-strategy-job-leveling-5328,"Organization, Change, & HR",PowerPoint,26,"LearnPPT Consulting","Job leveling template PPT: Download this HR Strategy Job Leveling matrix and framework to design clear job roles, levels, and compensation structures. Get it now."
"Galbraith Star Model",https://flevy.com/browse/flevypro/galbraith-star-model-4095,"Organization, Change, & HR",PowerPoint,24,"LearnPPT Consulting","Explore the Galbraith Star Model™ framework, crafted by ex-McKinsey and Big 4 consultants. Master organizational design with 5 key components: Strategy, Structure, Processes, Rewards, and People."
"Organizational Design: 10 Leadership Questions",https://flevy.com/browse/flevypro/organizational-design-10-leadership-questions-3191,"Organization, Change, & HR",PowerPoint,23,"LearnPPT Consulting","Explore a strategic framework for Organizational Design by ex-McKinsey & Big 4 consultants. Navigate 10 leadership questions to enhance performance."
"Change Management Methodology",https://flevy.com/browse/marketplace/change-management-methodology-241,"Organization, Change, & HR",PowerPoint,73,"Operational Excellence Consulting","Developed by a seasoned Change Management Consultant with a worldwide track record at industry giants like Microsoft and IBM, this methodology guide is your gateway to achieving transformative change and enhancing satisfaction."
"Organization Chart Maker for Microsoft Excel",https://flevy.com/browse/marketplace/organization-chart-maker-for-microsoft-excel-247,"Organization, Change, & HR",Excel,,officehelp,"Org chart template Excel: Create professional organizational charts easily with this Excel (XLS) maker. Download customizable templates and automate your org chart now."
"Psychology of Product Adoption",https://flevy.com/browse/marketplace/psychology-of-product-adoption-203,"Organization, Change, & HR",PowerPoint,46,"PPT Lab","Designed by a firm of ex-consultants from McKinsey, E&Y, and Bearing Point, this presentation discusses the Psychology of Product Adoption. It covers important concepts like Prospect Theory, Innovator's Curse, and Endowment Effect."
"Complex Strategy Implementation Handbook",https://flevy.com/browse/marketplace/complex-strategy-implementation-handbook-10027,"Organization, Change, & HR",PowerPoint,754,"SB Consulting ","This toolkit is created by trained McKinsey, BCG, and Porsche Consulting consultants and is the same used by MBB, Big 4, and Fortune 100 companies when performing Strategic Management Initiatives."
"Lean Standard Work: The Standard Pig Game",https://flevy.com/browse/marketplace/lean-standard-work-the-standard-pig-game-5388,"Organization, Change, & HR",PowerPoint,26,"Operational Excellence Consulting","Developed by an experienced Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this engaging game provides a creative learning experience and showcases the significance of Standard Work."
"10 Principles of Culture",https://flevy.com/browse/flevypro/10-principles-of-culture-3697,"Organization, Change, & HR",PowerPoint,30,"LearnPPT Consulting","Culture slide PPT: Explore the 10 Principles of Culture with clear, professional PowerPoint slides. Perfect for presentations on corporate and quality culture. Download now."
"Change Management Process - PPT &#40;IT Service Management, ITSM&#41;",https://flevy.com/browse/marketplace/change-management-process-ppt-it-service-management-itsm-3046,"Organization, Change, & HR",PowerPoint,32,"ITSM Consulting","IT change management process PPT for ITSM and ITIL frameworks. Learn structured change, release management flows, and IT service management best practices. Download now."
"Greiner Growth Model: Stages of Evolution and Revolution",https://flevy.com/browse/flevypro/greiner-growth-model-stages-of-evolution-and-revolution-2660,"Organization, Change, & HR",PowerPoint,28,"PPT Lab","Explore the Greiner Growth Model, crafted by ex-McKinsey and Big 4 consultants. Understand organizational evolution through 5 critical growth stages."
"8 Levers to Change Management",https://flevy.com/browse/flevypro/8-levers-to-change-management-3847,"Organization, Change, & HR",PowerPoint,24,"LearnPPT Consulting","Explore the 8 Levers to Change Management, crafted by ex-McKinsey & Big 4 consultants. Master the people side of transformation with actionable insights."
"Visual Management",https://flevy.com/browse/marketplace/visual-management-640,"Organization, Change, & HR",PowerPoint,153,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Methodologies."
"A Practical Framework Approach to Change - The Full Version",https://flevy.com/browse/marketplace/a-practical-framework-approach-to-change-the-full-version-1363,"Organization, Change, & HR",PowerPoint,135,"The Highway of Change","This presentation includes insights from a World HRD Congress Change Leader of Tomorrow awardee who has 50 years of experience in over 30 industry sectors, implementing 30 technologies in over 20 countries."
"9 Principles of Organizational Design",https://flevy.com/browse/flevypro/9-principles-of-organizational-design-3476,"Organization, Change, & HR",PowerPoint,21,"LearnPPT Consulting","Principles of organization PPT: Learn the 9 key organizational design principles to structure teams and processes effectively. Download this clear, actionable PPT now."
"Digital Organizational Design",https://flevy.com/browse/flevypro/digital-organizational-design-3189,"Organization, Change, & HR",PowerPoint,23,"LearnPPT Consulting","Explore a comprehensive PPT on Digital Organizational Design, crafted by ex-McKinsey & Big 4 consultants. Discover 4 models and diagnostic tools for digital maturity."
"Blue-Green Game",https://flevy.com/browse/marketplace/blue-green-game-5394,"Organization, Change, & HR",PowerPoint,35,"Operational Excellence Consulting","Developed by a seasoned Team Building Expert with a wealth of experience at industry giants like Microsoft and IBM, this popular Blue-Green Game empowers participants to achieve Win-Win outcomes through Trust, Teamwork, and Communication."
"Lean Daily Management System &#40;LDMS&#41;",https://flevy.com/browse/marketplace/lean-daily-management-system-ldms-1488,"Organization, Change, & HR",PowerPoint,164,"Operational Excellence Consulting","Developed by a seasoned Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Methodologies."
"Difficult Conversations Framework",https://flevy.com/browse/flevypro/difficult-conversations-framework-9401,"Organization, Change, & HR",PowerPoint,31,"LearnPPT Consulting","Explore the Difficult Conversations Framework by ex-McKinsey & Big 4 consultants. Master conflict resolution with structured insights and practical tools."
"Performance Management Maturity Model",https://flevy.com/browse/flevypro/performance-management-maturity-model-5108,"Organization, Change, & HR",PowerPoint,25,"LearnPPT Consulting","Explore the Performance Management Maturity Model, crafted by ex-McKinsey and Big 4 consultants. Assess and optimize your organization's performance capabilities."
"Organizational Design: A Guide to Building Organizations",https://flevy.com/browse/marketplace/organizational-design-a-guide-to-building-organizations-9446,"Organization, Change, & HR",PowerPoint,220,"Dwarka Consulting","This toolkit was created by former top consultants from Bain, Deloitte, and BCG after 1,000+ hours of work."
"Corporate Governance: Guide for SMEs",https://flevy.com/browse/marketplace/corporate-governance-guide-for-smes-5240,"Organization, Change, & HR",PowerPoint,27,"ILMAM - Strategy & Management Consulting","MBB/Big 4 style presentation that helps identify good corporate governance practices that may fit a company, focusing primarily on the Anglo-Saxon unitary board model"
"Digital Transformation: Operating Model Transformation",https://flevy.com/browse/flevypro/digital-transformation-operating-model-transformation-3977,"Organization, Change, & HR",PowerPoint,26,"LearnPPT Consulting","Explore a comprehensive framework for Next-gen Operating Model Transformation, crafted by ex-McKinsey and Big 4 consultants. Enhance agility and efficiency."
"Change Management",https://flevy.com/browse/marketplace/change-management-5340,"Organization, Change, & HR",PowerPoint,110,"Operational Excellence Consulting","Developed by a seasoned Organizational Change Expert with a worldwide track record at industry giants like Microsoft and IBM, this presentation is your gateway to driving transformative change and enhancing customer satisfaction."
"McKinsey Influence Model of Leading Change",https://flevy.com/browse/marketplace/mckinsey-influence-model-of-leading-change-9402,"Organization, Change, & HR",PowerPoint,70,"Operational Excellence Consulting","Developed by a seasoned Management Consultant &#40;ex-Microsoft and IBM&#41;, this presentation empowers you to drive transformational change and build a sustainable leadership culture."
"Training Needs Analysis &#40;TNA&#41;",https://flevy.com/browse/marketplace/training-needs-analysis-tna-1967,"Organization, Change, & HR",PowerPoint,72,"Operational Excellence Consulting","Developed by a Learning Experience Designer with global experience at industry leaders like Microsoft and IBM, this presentation is your indispensable resource for conducting Training Needs Analysis and enhancing workforce development."
"5 Leadership Practices of Capabilities-Driven Strategy (CDR)",https://flevy.com/browse/flevypro/5-leadership-practices-of-capabilities-driven-strategy-cdr-3702,"Organization, Change, & HR",PowerPoint,25,"LearnPPT Consulting","Explore the 5 Leadership Practices of Capabilities-Driven Strategy (CDR) by ex-McKinsey consultants. Align strategy with execution for sustainable success."
"Problem Solving and Decision Making",https://flevy.com/browse/marketplace/problem-solving-and-decision-making-4015,"Organization, Change, & HR",PowerPoint,32,"Corporate Finance 101","This problem structured problem solving tool includes the problem statement method &#40;page 8&#41; used while working with McKinsey."
"Issue-Based Work Planning and Hypothesis Problem Solving",https://flevy.com/browse/marketplace/issue-based-work-planning-and-hypothesis-problem-solving-377,"Organization, Change, & HR",PowerPoint,25,STRATICX,"Explore a structured methodology for complex problem-solving with this PPT on Issue-Based Work Planning, crafted by an ex-McKinsey consultant."
"Stakeholder Analysis and Engagement Framework",https://flevy.com/browse/marketplace/stakeholder-analysis-and-engagement-framework-9157,"Organization, Change, & HR",PowerPoint,63,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants and details a robust framework for stakeholder analysis and engagement used by consultants with their clients."
"Organizational Change Readiness Assessment & Questionnaire",https://flevy.com/browse/marketplace/organizational-change-readiness-assessment-and-questionnaire-8120,"Organization, Change, & HR",PowerPoint,50,"LearnPPT Consulting","This framework is created by former McKinsey, BCG, Deloitte, EY, and Capgemini consultants. It includes a 100+ question assessment that evaluates Change Readiness across 10 dimensions."
"How to Create a Culture that Supports Innovation",https://flevy.com/browse/marketplace/how-to-create-a-culture-that-supports-innovation-1126,"Organization, Change, & HR",PDF,13,"Innovation Management","How to Create a Culture that Supports Innovation PDF: Learn top-down and bottom-up strategies to foster innovation, build trust, and empower employees in your organization."
"100 Human Resources SOPs",https://flevy.com/browse/marketplace/100-human-resources-sops-10050,"Organization, Change, & HR",Excel,,"SB Consulting ","This toolkit is created by trained McKinsey, BCG, and Porsche Consulting consultants and is the same used by MBB, Big 4, and Fortune 100 companies when performing Human Resource Management Initiatives."
"Stakeholder Analysis & Management",https://flevy.com/browse/marketplace/stakeholder-analysis-and-management-962,"Organization, Change, & HR",PowerPoint,20,"The Highway of Change","This presentation includes insights from a World HRD Congress Change Leader of Tomorrow awardee who has 50 years of experience in over 30 industry sectors, implementing 30 technologies in over 20 countries."
"Complete Strategic Management Consulting Guide and Toolkit",https://flevy.com/browse/marketplace/complete-strategic-management-consulting-guide-and-toolkit-6878,"Organization, Change, & HR",PowerPoint,165,"SB Consulting ","These templates are created by trained McKinsey, BCG, and Porsche Consulting consultants and are the same used by MBB, Big 4, and Fortune 100 companies when performing Strategic Management Initiatives."
"MoSCoW  Method",https://flevy.com/browse/flevypro/moscow-method-8923,"Organization, Change, & HR",PowerPoint,28,"LearnPPT Consulting","MoSCoW Method PPT: Learn the prioritization framework (Must, Should, Could, Won't) for project and program management. Download this decision-making template now."
"Comprehensive HR Policy Manual",https://flevy.com/browse/marketplace/comprehensive-hr-policy-manual-1301,"Organization, Change, & HR",Word,193,SlideKraft,"HR policy manual Word format: Download a ready-to-use Comprehensive HR Policy Manual DOCX template. Includes policies, procedures, and formats for easy customization."
"Progress Report Primer",https://flevy.com/browse/marketplace/progress-report-primer-168,"Organization, Change, & HR",PowerPoint,31,"Clarity First ","McKinsey 3 years on staff, 15 years freelance trainer & coach | Barbara Minto Approved | BCG training designer | Coaches at FX10 and ASX 10 | Startup founder | Author | C-suite Coach."
"10 Principles in Leading Change Management",https://flevy.com/browse/flevypro/10-principles-in-leading-change-management-2959,"Organization, Change, & HR",PowerPoint,17,"LearnPPT Consulting","Explore 10 guiding principles for effective Change Management, crafted by ex-McKinsey and Big 4 consultants. Enhance transformation success with data-driven insights."
"Stakeholder Analysis Matrix",https://flevy.com/browse/marketplace/stakeholder-analysis-matrix-709,"Organization, Change, & HR",Excel,,"Demand Metric","Stakeholder mapping template Excel: Download the Stakeholder Analysis Matrix XLS to identify, prioritize, and manage stakeholders effectively. Easy-to-use template for project success."
"Change Management Strategy for SAP/GBO Program",https://flevy.com/browse/marketplace/change-management-strategy-for-sap-gbo-program-83,"Organization, Change, & HR",PowerPoint,61,kgoldin,"Explore a comprehensive Change Management Strategy for SAP/GBO, crafted by industry experts. Streamline transitions across HR, F&A, and more."
"Business Process Maturity Model (BPMM) Series: BPMM Primer",https://flevy.com/browse/flevypro/business-process-maturity-model-bpmm-series-bpmm-primer-4196,"Organization, Change, & HR",PowerPoint,23,"LearnPPT Consulting","Business Process Maturity Model (BPMM) PPTX: Learn BPMM stages, assessment, and meaning. Download this primer to understand BPM maturity levels and improve processes."
"Pricing Strategy Workshop",https://flevy.com/browse/marketplace/pricing-strategy-workshop-764,"Organization, Change, & HR",PowerPoint,133,"Documents & Files","Pricing Strategy Workshop PPT: Learn key pricing models, competitive & cost-based pricing, and workshop agendas. Download this expert-ready presentation now."
"Consulting Storytelling Guide",https://flevy.com/browse/marketplace/consulting-storytelling-guide-7124,"Organization, Change, & HR",PowerPoint,74,"SB Consulting ","These templates are created by trained McKinsey, BCG, and Porsche Consulting consultants and are the same used by MBB, Big 4, and Fortune 100 companies when performing Communication Initiatives."
"Change Readiness Assessment Toolkit",https://flevy.com/browse/marketplace/change-readiness-assessment-toolkit-675,"Organization, Change, & HR",Word,20,"Documents & Files","Enhance your change management strategy with this comprehensive Change Readiness Assessment Toolkit, crafted by industry experts. Assess organizational readiness through interviews, focus groups, and surveys."
"Foundation of Organization Design and Structure",https://flevy.com/browse/marketplace/foundation-of-organization-design-and-structure-1521,"Organization, Change, & HR",PDF,18,"ARC Strategy Ltd.","Explore effective organization design with this 18-page PDF, grounded in Requisite Organization theory by Eliot Jaques. Created by industry experts, it offers actionable insights for executives to optimize structure and enhance efficiency."
"Visual Management SQDCM Board",https://flevy.com/browse/marketplace/visual-management-sqdcm-board-5495,"Organization, Change, & HR",PowerPoint,8,Amine,"Visual Management SQDCM Board PPT: Download a ready-to-use SQDCM template for effective daily management. Includes SQDC board, SQDCP, and SQDCM concepts."
"People Side of Change & Change Resistance",https://flevy.com/browse/marketplace/people-side-of-change-and-change-resistance-1036,"Organization, Change, & HR",PowerPoint,32,"The Highway of Change","This presentation includes insights from a World HRD Congress Change Leader of Tomorrow awardee who has 50 years of experience in over 30 industry sectors, implementing 30 technologies in over 20 countries."
"ISO 45001:2018 &#40;OH&S&#41; Awareness Training",https://flevy.com/browse/marketplace/iso-450012018-ohands-awareness-training-3174,"Organization, Change, & HR",PowerPoint,73,"Operational Excellence Consulting","Developed by an ex-ISO Management System Lead Auditor with a wealth of experience at industry leaders like Microsoft & IBM, this presentation is your gateway to raising awareness of ISO 45001 and improving workplace safety and well-being."
"Organization Design Current State Assessment Guide",https://flevy.com/browse/marketplace/organization-design-current-state-assessment-guide-4155,"Organization, Change, & HR",PowerPoint,20,"Corporate Finance 101","Enhance your org design strategy with this comprehensive Current State Assessment Guide, crafted by industry experts. Analyze data, identify strengths, and report findings effectively."
Sustainability,https://flevy.com/browse/marketplace/sustainability-5829,"Organization, Change, & HR",PowerPoint,137,"Operational Excellence Consulting","Developed by a Sustainability Consultant with global experience at industry giants like Microsoft and IBM, this comprehensive presentation is your gateway to achieving sustainability excellence and enhancing stakeholder satisfaction."
"Building Effective Teams",https://flevy.com/browse/marketplace/building-effective-teams-866,"Organization, Change, & HR",PowerPoint,111,"Operational Excellence Consulting","Developed by a seasoned  Team Building Facilitator with global experience at Microsoft & IBM, this presentation is your guide to mastering the art of team building, providing you with strategies to enhance productivity and collaboration."
"Thomas-Kilmann Conflict Mode Instrument (TKI)",https://flevy.com/browse/flevypro/thomas-kilmann-conflict-mode-instrument-tki-3722,"Organization, Change, & HR",PowerPoint,21,"LearnPPT Consulting","Explore the TKI framework, crafted by ex-McKinsey & Big 4 consultants, to master conflict resolution in the workplace. Ideal for HR & OD professionals."
"People Capability Maturity Model (P-CMM)",https://flevy.com/browse/flevypro/people-capability-maturity-model-p-cmm-2973,"Organization, Change, & HR",PowerPoint,18,"LearnPPT Consulting","Explore the People Capability Maturity Model (P-CMM) developed by ex-McKinsey & Big 4 consultants. Enhance workforce practices and drive performance."
"Developing an Effective Compliance Management Program",https://flevy.com/browse/marketplace/developing-an-effective-compliance-management-program-6172,"Organization, Change, & HR",PowerPoint,34,"Patrick Gitau ","Compliance Management Program PPT: Learn how to develop an effective ISO-aligned compliance framework, risk assessments, governance, and training. Download now."
"Compensation - Annual Increase Merit Matrix Template",https://flevy.com/browse/marketplace/compensation-annual-increase-merit-matrix-template-9156,"Organization, Change, & HR",Excel,,"Ignite Reward Consulting","This tool is developed by a Chartered Reward Specialist with over 15+ years of experience in Reward Management, and whose clients include multinational Financial Services firms, Retail Firms and government entities."
"5S Techniques",https://flevy.com/browse/marketplace/5s-techniques-154,"Organization, Change, & HR",PowerPoint,189,"Operational Excellence Consulting","Developed by a Certified Lean Six Sigma Black Belt with a proven track record at Microsoft, IBM and Panasonic, this comprehensive presentation is your pathway to achieving Operational Excellence through Lean Methodologies."
"A Comprehensive Guide to Change Management & ERP Implementations",https://flevy.com/browse/marketplace/a-comprehensive-guide-to-change-management-and-erp-implementations-1256,"Organization, Change, & HR",PowerPoint,144,"The Highway of Change","This presentation includes insights from a World HRD Congress Change Leader of Tomorrow awardee who has 50 years of experience in over 30 industry sectors, implementing 30 technologies in over 20 countries."
"People & Culture Excellence",https://flevy.com/browse/marketplace/people-and-culture-excellence-7948,"Organization, Change, & HR",PowerPoint,101,"SB Consulting ","This toolkit is created by trained McKinsey, BCG, and Porsche Consulting consultants and is the same used by MBB, Big 4, and Fortune 100 companies when performing Human Resource Initiatives."
"Organisational Culture and Change Training",https://flevy.com/browse/marketplace/organisational-culture-and-change-training-7116,"Organization, Change, & HR",PowerPoint,250,"SB Consulting ","These templates are created by trained McKinsey, BCG, and Porsche Consulting consultants and are the same used by MBB, Big 4, and Fortune 100 companies when performing Culture Management Initiatives."
"Excel Safety Dashboard",https://flevy.com/browse/marketplace/excel-safety-dashboard-8345,"Organization, Change, & HR",Excel,,"Improve Your Excel","The Health Safety Excel Spreadsheet is a comprehensive tool designed to effectively manage Work Accidents and Daily Safety Dialogues &#40;DDS&#41; within your organization."
"Enterprise Organizational Assessment Toolkit",https://flevy.com/browse/marketplace/enterprise-organizational-assessment-toolkit-7663,"Organization, Change, & HR",PowerPoint,61,WallStBizStrategist,"Optimize your enterprise with our Organizational Assessment Toolkit, crafted by industry experts. Enhance efficiency, clarity, and collaboration for strategic alignment."
"Design Principles for Robust Operating Model",https://flevy.com/browse/flevypro/design-principles-for-robust-operating-model-9976,"Organization, Change, & HR",PowerPoint,30,"LearnPPT Consulting","Explore essential design principles for an effective Operating Model, crafted by ex-McKinsey & Big 4 consultants. Enhance strategy execution with clarity."
"Operating Model Canvas &#40;OMC&#41;",https://flevy.com/browse/flevypro/operating-model-canvas-omc-10388,"Organization, Change, & HR",PowerPoint,37,"LearnPPT Consulting","Explore the Operating Model Canvas (OMC) developed by ex-McKinsey & Big 4 consultants. Transform strategy into execution with structured insights and templates."
